Datetime,open,high,low,close,volume
2026-05-21 07:00:00,88.19000244140625,88.62999725341797,87.80000305175781,88.30000305175781,0
2026-05-21 08:00:00,88.43000030517578,88.43000030517578,88.43000030517578,88.43000030517578,57
2026-05-21 09:00:00,88.41000366210938,88.41000366210938,88.37000274658203,88.41000366210938,19
2026-05-21 10:00:00,88.4000015258789,88.4000015258789,88.4000015258789,88.4000015258789,32
2026-05-21 11:00:00,88.13999938964844,88.18190002441406,88.11000061035156,88.11000061035156,3036
2026-05-21 12:00:00,88.2300033569336,88.2300033569336,88.2300033569336,88.2300033569336,30
2026-05-21 13:00:00,88.08999633789062,88.2300033569336,88.08999633789062,88.2300033569336,72
2026-05-21 14:00:00,88.05999755859375,88.20999908447266,88.05999755859375,88.08000183105469,54
2026-05-21 15:00:00,88.16999816894531,88.16999816894531,88.05000305175781,88.05000305175781,2
2026-05-22 07:00:00,88.76000213623047,88.76000213623047,88.27999877929688,88.41000366210938,623
2026-05-22 08:00:00,88.43000030517578,88.48999786376953,88.43000030517578,88.44999694824219,378
2026-05-22 09:00:00,88.35565185546875,88.5,88.35565185546875,88.45999908447266,1034
2026-05-22 10:00:00,88.37999725341797,88.45999908447266,88.37999725341797,88.44999694824219,83
2026-05-22 11:00:00,88.44999694824219,88.48999786376953,88.38999938964844,88.38999938964844,91
2026-05-22 12:00:00,88.41000366210938,88.48999786376953,88.41000366210938,88.48999786376953,53
2026-05-22 13:00:00,88.62000274658203,88.62000274658203,88.51000213623047,88.51000213623047,64
2026-05-22 14:00:00,88.41999816894531,88.43000030517578,88.30000305175781,88.30000305175781,49
2026-05-22 15:00:00,88.43000030517578,88.45999908447266,88.3499984741211,88.44000244140625,187
2026-05-26 07:00:00,89.38999938964844,89.38999938964844,88.43000030517578,88.88999938964844,20537
2026-05-26 08:00:00,88.88999938964844,88.88999938964844,88.73999786376953,88.73999786376953,7124
2026-05-26 09:00:00,88.87000274658203,88.87000274658203,88.77999877929688,88.77999877929688,0
2026-05-26 10:00:00,88.77999877929688,88.91999816894531,88.77999877929688,88.91999816894531,2
2026-05-26 11:00:00,88.91999816894531,88.97000122070312,88.91000366210938,88.97000122070312,61
2026-05-26 12:00:00,88.88999938964844,88.88999938964844,88.88999938964844,88.88999938964844,60
2026-05-26 13:00:00,88.87000274658203,88.9000015258789,88.72730255126953,88.72730255126953,798
2026-05-26 14:00:00,88.81999969482422,88.83999633789062,88.72000122070312,88.80000305175781,60
2026-05-26 15:00:00,88.77999877929688,88.77999877929688,88.7300033569336,88.7300033569336,7173
2026-05-27 07:00:00,89.0199966430664,89.3293685913086,88.83999633789062,89.05000305175781,1842
2026-05-27 08:00:00,89.04000091552734,89.19000244140625,88.91000366210938,89.19000244140625,98
2026-05-27 09:00:00,88.93000030517578,89.19000244140625,88.93000030517578,89.04000091552734,9380
2026-05-27 10:00:00,89.04000091552734,89.04000091552734,89.04000091552734,89.04000091552734,8
2026-05-27 11:00:00,89.04000091552734,89.16000366210938,89.04000091552734,89.16000366210938,117
