Datetime,open,high,low,close,volume
2026-05-12 07:00:00,5432.5625,5450.5,5428.0,5448.0,0
2026-05-12 08:00:00,5448.0,5450.75,5437.5,5438.69482421875,6747
2026-05-12 09:00:00,5439.0,5441.25,5435.0,5435.0,3405
2026-05-12 10:00:00,5438.5,5440.25,5430.5,5440.25,880
2026-05-12 11:00:00,5437.5,5439.5,5431.75,5437.5,1244
2026-05-12 12:00:00,5435.5,5445.40380859375,5434.5,5443.58935546875,3554
2026-05-12 13:00:00,5444.18798828125,5447.5,5435.5,5436.25,7165
2026-05-12 14:00:00,5433.0,5437.93798828125,5421.0,5421.0,13256
2026-05-12 15:00:00,5423.0,5428.5,5417.0,5417.25,5794
2026-05-13 07:00:00,5459.0,5469.75,5457.0,5468.25,2818
2026-05-13 08:00:00,5471.5,5474.5,5468.25,5471.25,2868
2026-05-13 09:00:00,5468.81298828125,5474.75,5466.56298828125,5471.25,2876
2026-05-13 10:00:00,5472.25,5477.75,5466.5,5472.75,5424
2026-05-13 11:00:00,5471.625,5475.25,5470.0,5472.18115234375,14178
2026-05-13 12:00:00,5474.25,5476.0,5461.5,5466.75,6460
2026-05-13 13:00:00,5465.75,5471.25,5445.75,5447.8251953125,0
2026-05-13 14:00:00,5448.5,5466.5,5448.5,5463.0,21227
2026-05-13 15:00:00,5463.25,5466.5,5445.5,5465.5,2027
2026-05-14 07:00:00,5498.25,5505.0,5496.25,5503.0,1843
2026-05-14 08:00:00,5503.0625,5508.5,5500.5,5503.75,4140
2026-05-14 09:00:00,5503.7529296875,5504.5,5495.0,5502.15185546875,8693
2026-05-14 10:00:00,5504.02587890625,5509.0,5502.5,5508.75,827
2026-05-14 11:00:00,5505.5,5511.0,5504.75,5510.25,24127
2026-05-14 12:00:00,5512.3125,5514.0,5506.0,5507.75,13368
2026-05-14 13:00:00,5508.5,5525.25,5504.5,5517.93408203125,3816
2026-05-14 14:00:00,5515.25,5537.0,5514.06494140625,5537.0,18904
2026-05-14 15:00:00,5538.75,5552.5,5538.75,5551.0,2504
2026-05-15 07:00:00,5565.75,5571.75,5554.75,5564.0,13747
2026-05-15 08:00:00,5559.0,5559.0,5536.0,5547.5,17156
2026-05-15 09:00:00,5547.75,5553.77490234375,5540.43798828125,5543.75,14846
2026-05-15 10:00:00,5542.75,5546.0,5535.75,5544.75,3643
2026-05-15 11:00:00,5545.0,5545.0,5538.25,5540.0,6256
2026-05-15 12:00:00,5539.0,5539.0,5531.25,5534.25,1641
2026-05-15 13:00:00,5533.01806640625,5547.25,5526.75,5537.25,16986
2026-05-15 14:00:00,5538.75,5557.5,5533.5,5555.0,32381
2026-05-15 15:00:00,5556.22509765625,5562.76123046875,5540.75,5558.25,41110
2026-05-18 07:00:00,5504.5,5516.0,5497.75,5501.0,0
2026-05-18 08:00:00,5509.0,5517.25,5503.5,5509.75,19970
2026-05-18 09:00:00,5508.75,5515.75,5505.25,5511.0,16532
2026-05-18 10:00:00,5512.0,5512.0,5502.5,5510.25,2664
2026-05-18 11:00:00,5506.25,5519.25,5503.75,5507.8125,2309
2026-05-18 12:00:00,5508.0,5531.75,5507.5,5518.75,15603
2026-05-18 13:00:00,5526.75,5529.5,5509.0,5525.75,2567
2026-05-18 14:00:00,5520.25,5529.0,5495.7001953125,5507.4169921875,45399
2026-05-18 15:00:00,5510.0,5510.0,5493.0,5495.5,17964
2026-05-19 07:00:00,5498.75,5512.0,5498.75,5511.0,11781
2026-05-19 08:00:00,5511.75,5512.72802734375,5497.26513671875,5502.0,3555
2026-05-19 09:00:00,5500.5,5501.75,5476.25,5486.1875,9340
2026-05-19 10:00:00,5486.25,5487.5,5480.12109375,5486.5517578125,12644
2026-05-19 11:00:00,5489.75,5490.75,5481.75,5482.25,3084
2026-05-19 12:00:00,5478.75,5489.0,5477.5,5486.5,1375
2026-05-19 13:00:00,5488.75,5490.75,5467.0,5483.75,4498
2026-05-19 14:00:00,5480.25,5481.5,5462.5,5470.75,7664
2026-05-19 15:00:00,5471.0,5475.5,5460.0,5463.5625,7761
2026-05-20 07:00:00,5488.75,5489.75,5483.0,5485.5625,4427
