Datetime,open,high,low,close,volume
2026-05-01 07:00:00,21040.0,21175.0,20940.0,21010.0,0
2026-05-01 08:00:00,21010.0,21025.0,20960.0,20980.0,1263
2026-05-01 09:00:00,20961.599609375,21020.0,20935.0,21005.0,734
2026-05-01 10:00:00,21005.0,21015.0,20975.0,21015.0,2538
2026-05-01 11:00:00,21020.0,21020.0,20985.0,20995.0,4741
2026-05-01 12:00:00,21000.0,21025.0,20970.0,20990.0,532
2026-05-01 13:00:00,20985.0,21100.0,20975.0,21075.0,2689
2026-05-01 14:00:00,21170.0,21170.0,21050.0,21115.0,1917
2026-05-01 15:00:00,21115.0,21130.0,21095.0,21120.0,3127
2026-05-05 07:00:00,20979.134765625,20985.0,20850.0,20880.0,0
2026-05-05 08:00:00,20890.0,20950.0,20890.0,20890.0,1746
2026-05-05 09:00:00,20900.0,20915.0,20880.0,20885.0,5214
2026-05-05 10:00:00,20885.0,20915.0,20865.0,20890.0,17320
2026-05-05 11:00:00,20885.0,20890.0,20810.0,20820.0,1379
2026-05-05 12:00:00,20820.0,20855.0,20790.0,20810.0,876
2026-05-05 13:00:00,20810.0,20830.0,20720.0,20755.0,1351
2026-05-05 14:00:00,20770.0,20770.0,20695.0,20715.0,4028
2026-05-05 15:00:00,20740.0,20810.0,20730.0,20810.0,1094
2026-05-06 07:00:00,21022.13671875,21145.0,21015.0,21130.0,6788
2026-05-06 08:00:00,21140.0,21300.0,21136.5,21255.0,1725
2026-05-06 09:00:00,21275.0,21290.0,21235.0,21250.0,4980
2026-05-06 10:00:00,21239.880859375,21320.0,21230.0,21305.0,5936
2026-05-06 11:00:00,21300.0,21355.0,21275.0,21330.0,2399
2026-05-06 12:00:00,21345.0,21345.0,21145.0,21260.0,1204
2026-05-06 13:00:00,21270.162109375,21290.0,21220.0,21235.0,1523
2026-05-06 14:00:00,21250.0,21290.0,21215.0,21255.0,3391
2026-05-06 15:00:00,21255.0,21285.0,21245.0,21265.0,1927
2026-05-07 07:00:00,21280.0,21285.0,21130.0,21150.0,4084
2026-05-07 08:00:00,21135.0,21198.494140625,21120.0,21130.0,2117
2026-05-07 09:00:00,21135.0,21135.0,21105.0,21120.0,1309
2026-05-07 10:00:00,21135.0,21135.0,21100.0,21105.0,3457
2026-05-07 11:00:00,21114.4921875,21160.0,21110.0,21125.0,2015
