cycle,date,cycle_end,holdings,positions_count,target_holdings,allocation_details,market_regime,regime,benchmark_close,benchmark_sma200,vix_level,exposure,max_weight_deviation,rebalance_threshold,rebalance_executed,cost_saving,turnover,friction_cost_rate,friction_cost_eur,cost_eur,gross_cycle_return,strategy_ret,risk_free_cycle_return,excess_return,portfolio_value,benchmark_ticker,benchmark_cycle_return,benchmark_value,new_positions,initial_positions,min_holding_cycles,max_new_positions,max_positions,min_sell_score,rebalance_cycle_interval,policy_name,ensemble_active_from,ensemble_version,track_record_status,track_record_scope,cumulative_return,drawdown,analysis_start,analysis_end,real_rebalances,average_cycle_return_net,final_portfolio_value,max_drawdown,sharpe_ratio,sortino_ratio,jensen_alpha_annual,beta,transaction_cost_per_round,risk_free_rate_annual,bull_cycles,bear_cycles,stress_cycles,average_exposure,cost_saving_cycles,target_volatility,fractional_kelly,vix_stress_level,ensemble_score_weight_v3,ensemble_score_weight_xgb,legacy_cycles_excluded,track_record_summary_status,cost_model
1,2026-06-03,2026-07-19,"CYBR.L,ECAR.L,INRG.L,IUIT.L,WTAI.L,XAIX.L,XDWT.DE",7,"CYBR.L,ECAR.L,INRG.L,IUIT.L,WTAI.L,XAIX.L,XDWT.DE","[{""ticker"": ""CYBR.L"", ""name"": ""Cibersegurança (L&G UCITS Acc)"", ""score"": 0.84, ""score_v3"": 0.84, ""xgb_proba"": null, ""score_final"": 0.84, ""volatility_21"": 0.39031, ""target_weight"": 0.1093409180049103, ""weight"": 0.1093409180049103, ""contribution"": 0.005978030892802843, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""ECAR.L"", ""name"": ""Veículos Elétricos & Condução (iShares UCITS Acc)"", ""score"": 0.8781, ""score_v3"": 0.8781, ""xgb_proba"": null, ""score_final"": 0.8781, ""volatility_21"": 0.430375, ""target_weight"": 0.10365553525613364, ""weight"": 0.10365553525613364, ""contribution"": -0.03605090470353442, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""INRG.L"", ""name"": ""Energias Limpas Globais (iShares UCITS Acc)"", ""score"": 0.8275, ""score_v3"": 0.8275, ""xgb_proba"": null, ""score_final"": 0.8275, ""volatility_21"": 0.319838, ""target_weight"": 0.1314449371562105, ""weight"": 0.1314449371562105, ""contribution"": -0.04485154725352939, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""IUIT.L"", ""name"": ""S&P 500 IT (iShares UCITS Acc)"", ""score"": 0.8414, ""score_v3"": 0.8414, ""xgb_proba"": null, ""score_final"": 0.8414, ""volatility_21"": 0.234532, ""target_weight"": 0.18227618210888785, ""weight"": 0.18227618210888785, ""contribution"": -0.03732064019036158, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Sectores UCITS"", ""active"": true}, {""ticker"": ""WTAI.L"", ""name"": ""Inteligência Artificial (WisdomTree UCITS Acc)"", ""score"": 0.8844, ""score_v3"": 0.8844, ""xgb_proba"": null, ""score_final"": 0.8844, ""volatility_21"": 0.359119, ""target_weight"": 0.1251246991151787, ""weight"": 0.1251246991151787, ""contribution"": -0.04691130426522888, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XAIX.L"", ""name"": ""AI & Big Data (Xtrackers UCITS Acc)"", ""score"": 0.879, ""score_v3"": 0.879, ""xgb_proba"": null, ""score_final"": 0.879, ""volatility_21"": 0.280541, ""target_weight"": 0.15918192924977062, ""weight"": 0.15918192924977062, ""contribution"": -0.05345847215947891, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XDWT.DE"", ""name"": ""MSCI World IT (Xtrackers UCITS Acc)"", ""score"": 0.8447, ""score_v3"": 0.8447, ""xgb_proba"": null, ""score_final"": 0.8447, ""volatility_21"": 0.227104, ""target_weight"": 0.18897579910890833, ""weight"": 0.18897579910890833, ""contribution"": -0.026858672641745112, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}]",BULL,BULL,164.13999938964844,146.23269981384277,,1.0,0.18897579910890833,0.12,True,False,1.0,0.003,30.0,30.0,-0.24822425015536564,-0.25047957740489957,0.0024662697723036864,-0.25294584717720325,7495.204225951004,VWCE.DE,-0.04430944897316946,9556.905510268305,0,7,3,2,7,0.4,2,C,2026-06-09,score_v3_60_xgb_40,PRE_ENSEMBLE,FULL_HISTORY,-0.17883018623623592,0.0,2026-06-03,2026-09-25,3,-0.051265651991325746,8211.69813763764,-0.010189502734545886,-1.0216828837982435,-1.2729552994039108,-1.3087504860474024,3.173619760911369,0.003,0.03,3,0,0,1.0,0,0.12,0.25,28.0,0.6,0.4,6,FULL_HISTORY,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage
2,2026-07-19,2026-08-31,"CYBR.L,ECAR.L,IUIT.L,WTAI.L,XAIX.L,XDWD.DE,XDWT.DE",7,"CYBR.L,ECAR.L,IUIT.L,WTAI.L,XAIX.L,XDWD.DE,XDWT.DE","[{""ticker"": ""CYBR.L"", ""name"": ""Cibersegurança (L&G UCITS Acc)"", ""score"": 0.6718, ""score_v3"": 0.867, ""xgb_proba"": 0.379, ""score_final"": 0.6718, ""volatility_21"": 0.354113, ""target_weight"": 0.17244507801451875, ""weight"": 0.17244507801451875, ""contribution"": 0.040002083128135475, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.75, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""ECAR.L"", ""name"": ""Veículos Elétricos & Condução (iShares UCITS Acc)"", ""score"": 0.4819, ""score_v3"": 0.4665, ""xgb_proba"": 0.505, ""score_final"": 0.4819, ""volatility_21"": 0.351715, ""target_weight"": 0.08303419913657473, ""weight"": 0.08303419913657473, ""contribution"": 0.0044262731322437495, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""IUIT.L"", ""name"": ""S&P 500 IT (iShares UCITS Acc)"", ""score"": 0.5856, ""score_v3"": 0.5293, ""xgb_proba"": 0.67, ""score_final"": 0.5856, ""volatility_21"": 0.253016, ""target_weight"": 0.1402496708515838, ""weight"": 0.1402496708515838, ""contribution"": 0.01177622817221185, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Sectores UCITS"", ""active"": true}, {""ticker"": ""WTAI.L"", ""name"": ""Inteligência Artificial (WisdomTree UCITS Acc)"", ""score"": 0.5527, ""score_v3"": 0.4919, ""xgb_proba"": 0.644, ""score_final"": 0.5527, ""volatility_21"": 0.423667, ""target_weight"": 0.07905954996066579, ""weight"": 0.07905954996066579, ""contribution"": 0.011656154280951615, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XAIX.L"", ""name"": ""AI & Big Data (Xtrackers UCITS Acc)"", ""score"": 0.613, ""score_v3"": 0.613, ""xgb_proba"": 0.613, ""score_final"": 0.613, ""volatility_21"": 0.325906, ""target_weight"": 0.11397799525566901, ""weight"": 0.11397799525566901, ""contribution"": 0.01716503601208957, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XDWD.DE"", ""name"": ""MSCI World (Xtrackers UCITS Acc)"", ""score"": 0.7775, ""score_v3"": 0.7345, ""xgb_proba"": 0.842, ""score_final"": 0.7775, ""volatility_21"": 0.093772, ""target_weight"": 0.25, ""weight"": 0.25, ""contribution"": 0.01191354290690294, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Global / MSCI World"", ""active"": true}, {""ticker"": ""XDWT.DE"", ""name"": ""MSCI World IT (Xtrackers UCITS Acc)"", ""score"": 0.674, ""score_v3"": 0.6493, ""xgb_proba"": 0.711, ""score_final"": 0.674, ""volatility_21"": 0.253314, ""target_weight"": 0.16123350678098786, ""weight"": 0.16123350678098786, ""contribution"": 0.009754472703441621, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}]",BULL,BULL,163.5,150.584400100708,,1.0,0.25,0.12,True,False,0.2690496686500301,0.0008071490059500903,6.0497466403692695,6.0497466403692695,0.10776625659830663,0.10687212416546821,0.0024662697723036864,0.10440585439316452,8296.232622632382,VWCE.DE,0.057257053812477254,10104.105763350497,1,0,3,2,7,0.4,2,C,2026-06-09,score_v3_60_xgb_40,VALID_ENSEMBLE_60_40,FULL_HISTORY,-0.17883018623623592,0.0,2026-06-03,2026-09-25,3,-0.051265651991325746,8211.69813763764,-0.010189502734545886,-1.0216828837982435,-1.2729552994039108,-1.3087504860474024,3.173619760911369,0.003,0.03,3,0,0,1.0,0,0.12,0.25,28.0,0.6,0.4,6,FULL_HISTORY,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage
3,2026-08-31,2026-09-25,"CYBR.L,IUFS.L,WTAI.L,XAIX.L,XDWD.DE,XDWT.DE",6,"CYBR.L,IUFS.L,IUIT.L,WTAI.L,XAIX.L,XDWD.DE,XDWT.DE","[{""ticker"": ""CYBR.L"", ""name"": ""Cibersegurança (L&G UCITS Acc)"", ""score"": 0.5672, ""score_v3"": 0.6539, ""xgb_proba"": 0.437, ""score_final"": 0.5672, ""volatility_21"": 0.392092, ""target_weight"": 0.14352794387766066, ""weight"": 0.14352794387766066, ""contribution"": -0.013643746394783893, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.75, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""IUFS.L"", ""name"": ""S&P 500 Financials (iShares UCITS Acc)"", ""score"": 0.7923, ""score_v3"": 0.7799, ""xgb_proba"": 0.811, ""score_final"": 0.7923, ""volatility_21"": 0.103788, ""target_weight"": 0.25, ""weight"": 0.25, ""contribution"": -0.019981112340846707, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Sectores UCITS"", ""active"": true}, {""ticker"": ""IUIT.L"", ""name"": ""S&P 500 IT (iShares UCITS Acc)"", ""score"": 0.475, ""score_v3"": 0.5084, ""xgb_proba"": 0.425, ""score_final"": 0.475, ""volatility_21"": 0.2604, ""target_weight"": 0.0, ""weight"": 0.0, ""contribution"": 0.0, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Sectores UCITS"", ""active"": false}, {""ticker"": ""WTAI.L"", ""name"": ""Inteligência Artificial (WisdomTree UCITS Acc)"", ""score"": 0.5389, ""score_v3"": 0.4988, ""xgb_proba"": 0.599, ""score_final"": 0.5389, ""volatility_21"": 0.346723, ""target_weight"": 0.102811382541968, ""weight"": 0.102811382541968, ""contribution"": 0.0034529248616846364, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XAIX.L"", ""name"": ""AI & Big Data (Xtrackers UCITS Acc)"", ""score"": 0.442, ""score_v3"": 0.5, ""xgb_proba"": 0.355, ""score_final"": 0.442, ""volatility_21"": 0.21517, ""target_weight"": 0.135886773757614, ""weight"": 0.135886773757614, ""contribution"": 0.007097165745254404, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XDWD.DE"", ""name"": ""MSCI World (Xtrackers UCITS Acc)"", ""score"": 0.6122, ""score_v3"": 0.6223, ""xgb_proba"": 0.597, ""score_final"": 0.6122, ""volatility_21"": 0.092784, ""target_weight"": 0.25, ""weight"": 0.25, ""contribution"": 0.003837945609742488, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.75, ""category"": ""Global / MSCI World"", ""active"": true}, {""ticker"": ""XDWT.DE"", ""name"": ""MSCI World IT (Xtrackers UCITS Acc)"", ""score"": 0.4325, ""score_v3"": 0.5149, ""xgb_proba"": 0.309, ""score_final"": 0.4325, ""volatility_21"": 0.242945, ""target_weight"": 0.11777389982275736, ""weight"": 0.11777389982275736, ""contribution"": 0.010698966104210028, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}]",BULL,BULL,166.66000366210938,154.2117999267578,,1.0,0.25,0.12,True,False,0.30198844833119576,0.0009059653449935873,7.5160992501102,7.5160992501102,-0.009291955579294409,-0.010189502734545886,0.0024662697723036864,-0.012655772506849572,8211.69813763764,VWCE.DE,0.046754841562751226,10576.52162744923,1,0,3,2,7,0.4,2,C,2026-06-09,score_v3_60_xgb_40,VALID_ENSEMBLE_60_40,FULL_HISTORY,-0.17883018623623592,-0.010189502734545886,2026-06-03,2026-09-25,3,-0.051265651991325746,8211.69813763764,-0.010189502734545886,-1.0216828837982435,-1.2729552994039108,-1.3087504860474024,3.173619760911369,0.003,0.03,3,0,0,1.0,0,0.12,0.25,28.0,0.6,0.4,6,FULL_HISTORY,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage
