cycle,date,cycle_end,holdings,target_holdings,allocation_details,market_regime,benchmark_close,benchmark_sma200,vix_level,exposure,max_weight_deviation,rebalance_threshold,rebalance_executed,cost_saving,turnover,friction_cost_rate,friction_cost_eur,gross_cycle_return,strategy_ret,risk_free_cycle_return,excess_return,portfolio_value,benchmark_ticker,benchmark_cycle_return,benchmark_value,cumulative_return,drawdown,analysis_start,analysis_end,real_rebalances,average_cycle_return_net,final_portfolio_value,max_drawdown,sharpe_ratio,sortino_ratio,jensen_alpha_annual,beta,transaction_cost_per_round,risk_free_rate_annual,bull_cycles,bear_cycles,stress_cycles,average_exposure,cost_saving_cycles,max_positions,target_volatility,fractional_kelly,vix_stress_level,ensemble_score_weight_v3,ensemble_score_weight_xgb,cost_model,track_record_status,ensemble_active
1,2026-05-25,2026-06-18,"CIBR,DRIV,EWY,HACK,SOXX,TAN,UFO,USO","CIBR,DRIV,EWY,HACK,SOXX,TAN,UFO,USO","[{""ticker"": ""CIBR"", ""name"": ""CIBR"", ""score"": 0.8268, ""score_v3"": NaN, ""ml_prob"": null, ""volatility_21"": 0.229438, ""target_weight"": 0.1964430127727543, ""weight"": 0.1964430127727543, ""contribution"": 0.006051068896010067, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Other"", ""active"": true}, {""ticker"": ""DRIV"", ""name"": ""DRIV"", ""score"": 0.8053, ""score_v3"": NaN, ""ml_prob"": null, ""volatility_21"": 0.324983, ""target_weight"": 0.13509099565509253, ""weight"": 0.13509099565509253, ""contribution"": 0.011887126255160604, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Other"", ""active"": true}, {""ticker"": ""EWY"", ""name"": ""EWY"", ""score"": 0.8523, ""score_v3"": NaN, ""ml_prob"": null, ""volatility_21"": 0.615589, ""target_weight"": 0.0754758542284058, ""weight"": 0.0754758542284058, ""contribution"": 0.014071111231342743, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Other"", ""active"": true}, {""ticker"": ""HACK"", ""name"": ""HACK"", ""score"": 0.8058, ""score_v3"": NaN, ""ml_prob"": null, ""volatility_21"": 0.20879, ""target_weight"": 0.21039219629738676, ""weight"": 0.21039219629738676, ""contribution"": 0.0074747704392147405, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Other"", ""active"": true}, {""ticker"": ""SOXX"", ""name"": ""SOXX"", ""score"": 0.7963, ""score_v3"": NaN, ""ml_prob"": null, ""volatility_21"": 0.488792, ""target_weight"": 0.0888143080508498, ""weight"": 0.0888143080508498, ""contribution"": 0.013564333324235829, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Other"", ""active"": true}, {""ticker"": ""TAN"", ""name"": ""TAN"", ""score"": 0.8167, ""score_v3"": NaN, ""ml_prob"": null, ""volatility_21"": 0.390959, ""target_weight"": 0.11387604413276878, ""weight"": 0.11387604413276878, ""contribution"": 0.012724373384682831, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Other"", ""active"": true}, {""ticker"": ""UFO"", ""name"": ""UFO"", ""score"": 0.857, ""score_v3"": NaN, ""ml_prob"": null, ""volatility_21"": 0.45498, ""target_weight"": 0.10268720770425416, ""weight"": 0.10268720770425416, ""contribution"": 0.005120431581404219, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Other"", ""active"": true}, {""ticker"": ""USO"", ""name"": ""USO"", ""score"": 0.7974, ""score_v3"": NaN, ""ml_prob"": null, ""volatility_21"": 0.562911, ""target_weight"": 0.07722038115848788, ""weight"": 0.07722038115848788, ""contribution"": -0.0050658328367008156, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Other"", ""active"": true}]",BULL,162.77999877929688,145.21489974975586,,1.0,0.2103921962973867,0.05,True,False,1.0,0.003,30.0,0.0652434343570149,0.062047704053944,0.0024662697723036,0.0595814342816403,10620.47704053944,VWCE.DE,-0.001460562481894,9985.394375181058,-0.0022242470340668,0.0,2026-05-25,2026-09-24,6,0.0001318761563085,9977.757529659331,-0.061993422044404,-0.2306580426122675,-0.3944963486275356,-0.0554888585923513,0.1870837844621883,0.003,0.03,6,0,0,1.0,0,8,0.12,0.25,28.0,0.6,0.4,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage,LEGACY_INCOMPLETE,False
2,2026-06-19,2026-07-09,"ECAR.L,IWFM.L,IWMO.L,IWVL.L,RBOT.L,WTAI.L,XAIX.L,XMEM.DE","ECAR.L,IWFM.L,IWMO.L,IWVL.L,RBOT.L,WTAI.L,XAIX.L,XMEM.DE","[{""ticker"": ""ECAR.L"", ""name"": ""Veículos Elétricos & Condução (iShares UCITS Acc)"", ""score"": 0.7766, ""score_v3"": NaN, ""ml_prob"": 0.34, ""volatility_21"": 0.433878, ""target_weight"": 0.0816591811165741, ""weight"": 0.0816591811165741, ""contribution"": 3.343428007262755e-05, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""IWFM.L"", ""name"": ""MSCI World Multifactor (iShares Edge UCITS Acc)"", ""score"": 0.7755, ""score_v3"": NaN, ""ml_prob"": 0.418, ""volatility_21"": 0.227761, ""target_weight"": 0.15533703032579763, ""weight"": 0.15533703032579763, ""contribution"": -0.0038012093834905235, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Factor / Smart Beta"", ""active"": true}, {""ticker"": ""IWMO.L"", ""name"": ""MSCI World Momentum (iShares Edge UCITS Acc)"", ""score"": 0.7588, ""score_v3"": NaN, ""ml_prob"": 0.508, ""volatility_21"": 0.232117, ""target_weight"": 0.14914364682088563, ""weight"": 0.14914364682088563, ""contribution"": -0.005103315093895949, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Factor / Smart Beta"", ""active"": true}, {""ticker"": ""IWVL.L"", ""name"": ""MSCI World Value (iShares Edge UCITS Acc)"", ""score"": 0.8092, ""score_v3"": NaN, ""ml_prob"": 0.541, ""volatility_21"": 0.215987, ""target_weight"": 0.17093341617873667, ""weight"": 0.17093341617873667, ""contribution"": -0.0072805650912407096, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Factor / Smart Beta"", ""active"": true}, {""ticker"": ""RBOT.L"", ""name"": ""Automação & Robótica (iShares UCITS Acc)"", ""score"": 0.7601, ""score_v3"": NaN, ""ml_prob"": 0.418, ""volatility_21"": 0.296223, ""target_weight"": 0.11707565026032345, ""weight"": 0.11707565026032345, ""contribution"": -0.00039957295583471905, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""WTAI.L"", ""name"": ""Inteligência Artificial (WisdomTree UCITS Acc)"", ""score"": 0.7826, ""score_v3"": NaN, ""ml_prob"": 0.333, ""volatility_21"": 0.390178, ""target_weight"": 0.09151569402315174, ""weight"": 0.09151569402315174, ""contribution"": -0.0005775910266810816, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XAIX.L"", ""name"": ""AI & Big Data (Xtrackers UCITS Acc)"", ""score"": 0.7557, ""score_v3"": NaN, ""ml_prob"": 0.305, ""volatility_21"": 0.355656, ""target_weight"": 0.0969372736703119, ""weight"": 0.0969372736703119, ""contribution"": -0.007743198941400514, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XMEM.DE"", ""name"": ""MSCI Emerging Markets (Xtrackers UCITS Acc)"", ""score"": 0.759, ""score_v3"": NaN, ""ml_prob"": 0.43, ""volatility_21"": 0.252039, ""target_weight"": 0.13739810760421903, ""weight"": 0.13739810760421903, ""contribution"": -0.0037805221980095707, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Mercados Emergentes"", ""active"": true}]",BULL,165.44000244140625,147.84110000610352,,1.0,0.2045231725536115,0.05,True,False,1.0,0.003,31.86143112161832,-0.0281490520464435,-0.0310646048903042,0.0024662697723036,-0.0335308746626079,10290.556117528531,VWCE.DE,0.0051570203204871,10036.889256881945,-0.0022242470340668,-0.0310646048903043,2026-05-25,2026-09-24,6,0.0001318761563085,9977.757529659331,-0.061993422044404,-0.2306580426122675,-0.3944963486275356,-0.0554888585923513,0.1870837844621883,0.003,0.03,6,0,0,1.0,0,8,0.12,0.25,28.0,0.6,0.4,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage,LEGACY_INCOMPLETE,False
3,2026-07-10,2026-07-30,"BTEC.L,CSPX.L,CYBR.L,SPXS.L,SUSW.L,XAIX.L,XDEQ.L,XDWD.DE","BTEC.L,CSPX.L,CYBR.L,SPXS.L,SUSW.L,XAIX.L,XDEQ.L,XDWD.DE","[{""ticker"": ""BTEC.L"", ""name"": ""Nasdaq Biotecnologia (iShares UCITS Acc)"", ""score"": 0.8038, ""score_v3"": NaN, ""ml_prob"": 0.632, ""volatility_21"": 0.208424, ""target_weight"": 0.09944796637780624, ""weight"": 0.09944796637780624, ""contribution"": -0.009105970949758815, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""CSPX.L"", ""name"": ""S&P 500 (iShares Core UCITS Acc)"", ""score"": 0.7227, ""score_v3"": NaN, ""ml_prob"": 0.675, ""volatility_21"": 0.13138, ""target_weight"": 0.1418324138014412, ""weight"": 0.1418324138014412, ""contribution"": -0.0029956800255003997, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Mercado Largo"", ""active"": true}, {""ticker"": ""CYBR.L"", ""name"": ""Cibersegurança (L&G UCITS Acc)"", ""score"": 0.7602, ""score_v3"": NaN, ""ml_prob"": 0.257, ""volatility_21"": 0.361475, ""target_weight"": 0.054227696133663836, ""weight"": 0.054227696133663836, ""contribution"": -0.004260874759056773, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""SPXS.L"", ""name"": ""S&P 500 (Invesco UCITS Acc)"", ""score"": 0.7223, ""score_v3"": NaN, ""ml_prob"": 0.688, ""volatility_21"": 0.129809, ""target_weight"": 0.14348722635303468, ""weight"": 0.14348722635303468, ""contribution"": -0.0029526920533994696, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Mercado Largo"", ""active"": true}, {""ticker"": ""SUSW.L"", ""name"": ""MSCI World SRI (iShares UCITS Acc)"", ""score"": 0.7308, ""score_v3"": NaN, ""ml_prob"": 0.778, ""volatility_21"": 0.150674, ""target_weight"": 0.1250665987851439, ""weight"": 0.1250665987851439, ""contribution"": -0.0022634769875509997, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""ESG / Sustentável"", ""active"": true}, {""ticker"": ""XAIX.L"", ""name"": ""AI & Big Data (Xtrackers UCITS Acc)"", ""score"": 0.7379, ""score_v3"": NaN, ""ml_prob"": 0.887, ""volatility_21"": 0.370591, ""target_weight"": 0.05134507809817265, ""weight"": 0.05134507809817265, ""contribution"": -0.0059172119840699006, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""XDEQ.L"", ""name"": ""MSCI World Quality (Xtrackers UCITS Acc)"", ""score"": 0.741, ""score_v3"": NaN, ""ml_prob"": 0.905, ""volatility_21"": 0.099622, ""target_weight"": 0.19179744487959965, ""weight"": 0.19179744487959965, ""contribution"": -0.0010837966701164245, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Factor / Smart Beta"", ""active"": true}, {""ticker"": ""XDWD.DE"", ""name"": ""MSCI World (Xtrackers UCITS Acc)"", ""score"": 0.7892, ""score_v3"": NaN, ""ml_prob"": 0.915, ""volatility_21"": 0.105553, ""target_weight"": 0.19279557557113794, ""weight"": 0.19279557557113794, ""contribution"": -0.0004531109458556582, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Global / MSCI World"", ""active"": true}]",BULL,166.13999938964844,149.9351000213623,,1.0,0.1927955755711379,0.05,True,False,0.9486549219018272,0.0028459647657054,29.28656013000121,-0.029157428393491,-0.03192041214533,0.0024662697723036,-0.0343866819176337,9962.077325052374,VWCE.DE,-0.0268535956418873,9767.362691275232,-0.0022242470340668,-0.061993422044404,2026-05-25,2026-09-24,6,0.0001318761563085,9977.757529659331,-0.061993422044404,-0.2306580426122675,-0.3944963486275356,-0.0554888585923513,0.1870837844621883,0.003,0.03,6,0,0,1.0,0,8,0.12,0.25,28.0,0.6,0.4,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage,LEGACY_INCOMPLETE,False
4,2026-07-31,2026-08-20,"CUKX.L,CYBR.L,HEAL.L,IAPD.L,IUFS.L,SMEA.L,VEUR.L,VUKE.L","CUKX.L,CYBR.L,HEAL.L,IAPD.L,IUFS.L,SMEA.L,VEUR.L,VUKE.L","[{""ticker"": ""CUKX.L"", ""name"": ""FTSE 100 (iShares Core UCITS Acc)"", ""score"": 0.7538, ""score_v3"": NaN, ""ml_prob"": 0.655, ""volatility_21"": 0.100624, ""target_weight"": 0.1559218027504531, ""weight"": 0.1559218027504531, ""contribution"": -0.0011938728837892418, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Internacional Desenvolvido"", ""active"": true}, {""ticker"": ""CYBR.L"", ""name"": ""Cibersegurança (L&G UCITS Acc)"", ""score"": 0.779, ""score_v3"": NaN, ""ml_prob"": 0.882, ""volatility_21"": 0.346999, ""target_weight"": 0.04672475612004243, ""weight"": 0.04672475612004243, ""contribution"": 0.005945397154964839, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""HEAL.L"", ""name"": ""Inovação na Saúde (iShares UCITS Acc)"", ""score"": 0.7909, ""score_v3"": NaN, ""ml_prob"": 0.744, ""volatility_21"": 0.119282, ""target_weight"": 0.1380033424023656, ""weight"": 0.1380033424023656, ""contribution"": 0.01497607549597821, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""IAPD.L"", ""name"": ""Asia Pacific Dividend (iShares UCITS Dist)"", ""score"": 0.7329, ""score_v3"": NaN, ""ml_prob"": 0.596, ""volatility_21"": 0.121877, ""target_weight"": 0.1251557032275138, ""weight"": 0.1251557032275138, ""contribution"": -0.004189755162239077, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Internacional Desenvolvido"", ""active"": true}, {""ticker"": ""IUFS.L"", ""name"": ""S&P 500 Financials (iShares UCITS Acc)"", ""score"": 0.7255, ""score_v3"": NaN, ""ml_prob"": 0.642, ""volatility_21"": 0.138553, ""target_weight"": 0.10898102252860606, ""weight"": 0.10898102252860606, ""contribution"": 0.006761907761747795, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Sectores UCITS"", ""active"": true}, {""ticker"": ""SMEA.L"", ""name"": ""MSCI Europe (iShares Core UCITS Acc)"", ""score"": 0.7276, ""score_v3"": NaN, ""ml_prob"": 0.659, ""volatility_21"": 0.110792, ""target_weight"": 0.13668994262121434, ""weight"": 0.13668994262121434, ""contribution"": -0.0021308806763064847, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Internacional Desenvolvido"", ""active"": true}, {""ticker"": ""VEUR.L"", ""name"": ""FTSE Developed Europe (Vanguard UCITS Acc)"", ""score"": 0.7204, ""score_v3"": NaN, ""ml_prob"": 0.623, ""volatility_21"": 0.112492, ""target_weight"": 0.13329285414716052, ""weight"": 0.13329285414716052, ""contribution"": -0.0017644601471410119, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Internacional Desenvolvido"", ""active"": true}, {""ticker"": ""VUKE.L"", ""name"": ""FTSE 100 (Vanguard UCITS Acc)"", ""score"": 0.7483, ""score_v3"": NaN, ""ml_prob"": 0.624, ""volatility_21"": 0.100337, ""target_weight"": 0.15523057620264422, ""weight"": 0.15523057620264422, ""contribution"": -0.001826029445832501, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Internacional Desenvolvido"", ""active"": true}]",BULL,162.9600067138672,151.70480003356934,,1.0,0.1981191083400907,0.05,True,False,0.9532752438799575,0.0028598257316398,28.48980507477089,0.0157244662977158,0.0128196713327415,0.0024662697723036,0.0103534015604378,10089.787882150902,VWCE.DE,0.0319681704190506,10079.607406334597,-0.0022242470340668,-0.0499684860070638,2026-05-25,2026-09-24,6,0.0001318761563085,9977.757529659331,-0.061993422044404,-0.2306580426122675,-0.3944963486275356,-0.0554888585923513,0.1870837844621883,0.003,0.03,6,0,0,1.0,0,8,0.12,0.25,28.0,0.6,0.4,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage,LEGACY_INCOMPLETE,False
5,2026-08-21,2026-09-11,"BTEC.L,CUKX.L,HEAL.L,IUFS.L,IUHC.L,IWVL.L,VUKE.L,WSML.L","BTEC.L,CUKX.L,HEAL.L,IUFS.L,IUHC.L,IWVL.L,VUKE.L,WSML.L","[{""ticker"": ""BTEC.L"", ""name"": ""Nasdaq Biotecnologia (iShares UCITS Acc)"", ""score"": 0.836, ""score_v3"": NaN, ""ml_prob"": 0.416, ""volatility_21"": 0.223409, ""target_weight"": 0.05950600107096338, ""weight"": 0.05950600107096338, ""contribution"": 0.0018500014973291889, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""CUKX.L"", ""name"": ""FTSE 100 (iShares Core UCITS Acc)"", ""score"": 0.761, ""score_v3"": NaN, ""ml_prob"": 0.785, ""volatility_21"": 0.057755, ""target_weight"": 0.20953298909543366, ""weight"": 0.20953298909543366, ""contribution"": -0.0014769889247136115, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Internacional Desenvolvido"", ""active"": true}, {""ticker"": ""HEAL.L"", ""name"": ""Inovação na Saúde (iShares UCITS Acc)"", ""score"": 0.8177, ""score_v3"": NaN, ""ml_prob"": 0.387, ""volatility_21"": 0.190654, ""target_weight"": 0.10230014106480444, ""weight"": 0.10230014106480444, ""contribution"": -0.0016218002183199887, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.75, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""IUFS.L"", ""name"": ""S&P 500 Financials (iShares UCITS Acc)"", ""score"": 0.7709, ""score_v3"": NaN, ""ml_prob"": 0.837, ""volatility_21"": 0.114517, ""target_weight"": 0.16057229828174843, ""weight"": 0.16057229828174843, ""contribution"": -0.0070981538198045604, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.75, ""category"": ""EUA – Sectores UCITS"", ""active"": true}, {""ticker"": ""IUHC.L"", ""name"": ""S&P 500 Health Care (iShares UCITS Acc)"", ""score"": 0.7984, ""score_v3"": NaN, ""ml_prob"": 0.659, ""volatility_21"": 0.185239, ""target_weight"": 0.06853829609576818, ""weight"": 0.06853829609576818, ""contribution"": -0.00271383462485822, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Sectores UCITS"", ""active"": true}, {""ticker"": ""IWVL.L"", ""name"": ""MSCI World Value (iShares Edge UCITS Acc)"", ""score"": 0.7466, ""score_v3"": NaN, ""ml_prob"": 0.367, ""volatility_21"": 0.133223, ""target_weight"": 0.08912303401252765, ""weight"": 0.08912303401252765, ""contribution"": 0.003320410895958429, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Factor / Smart Beta"", ""active"": true}, {""ticker"": ""VUKE.L"", ""name"": ""FTSE 100 (Vanguard UCITS Acc)"", ""score"": 0.7522, ""score_v3"": NaN, ""ml_prob"": 0.764, ""volatility_21"": 0.057835, ""target_weight"": 0.20681636464982764, ""weight"": 0.20681636464982764, ""contribution"": -0.00107061589547752, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Internacional Desenvolvido"", ""active"": true}, {""ticker"": ""WSML.L"", ""name"": ""MSCI World Small Cap (iShares UCITS Acc)"", ""score"": 0.7601, ""score_v3"": NaN, ""ml_prob"": 0.662, ""volatility_21"": 0.116655, ""target_weight"": 0.10361087572892665, ""weight"": 0.10361087572892665, ""contribution"": -0.0018385694969364154, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Global / MSCI World"", ""active"": true}]",BULL,166.3000030517578,153.53369995117188,,1.0,0.1324759483596683,0.05,True,False,0.4803864821502076,0.0014411594464506,14.540993119044796,-0.0106766388280667,-0.0121024115356139,0.0024662697723036,-0.0145686813079176,9967.67711689406,VWCE.DE,0.0213523016451044,10294.830224138885,-0.0022242470340668,-0.0614661583612086,2026-05-25,2026-09-24,6,0.0001318761563085,9977.757529659331,-0.061993422044404,-0.2306580426122675,-0.3944963486275356,-0.0554888585923513,0.1870837844621883,0.003,0.03,6,0,0,1.0,0,8,0.12,0.25,28.0,0.6,0.4,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage,LEGACY_INCOMPLETE,False
6,2026-09-12,2026-09-24,"BTEC.L,CRUD.L,CUKX.L,HEAL.L,IBZL.L,IUES.L,MVEW.L,VUAA.L","BTEC.L,CRUD.L,CUKX.L,HEAL.L,IBZL.L,IUES.L,MVEW.L,VUAA.L","[{""ticker"": ""BTEC.L"", ""name"": ""Nasdaq Biotecnologia (iShares UCITS Acc)"", ""score"": 0.7619, ""score_v3"": NaN, ""ml_prob"": 0.72, ""volatility_21"": 0.262424, ""target_weight"": 0.0664410723583233, ""weight"": 0.0664410723583233, ""contribution"": 0.000924875896630156, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""CRUD.L"", ""name"": ""Crude Oil (WisdomTree ETC)"", ""score"": 0.8015, ""score_v3"": NaN, ""ml_prob"": 0.577, ""volatility_21"": 0.281953, ""target_weight"": 0.06505503053691165, ""weight"": 0.06505503053691165, ""contribution"": -0.004488600485954258, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Commodities"", ""active"": true}, {""ticker"": ""CUKX.L"", ""name"": ""FTSE 100 (iShares Core UCITS Acc)"", ""score"": 0.7386, ""score_v3"": NaN, ""ml_prob"": 0.807, ""volatility_21"": 0.077283, ""target_weight"": 0.21871718972844095, ""weight"": 0.21871718972844095, ""contribution"": -0.00010884811202693174, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Internacional Desenvolvido"", ""active"": true}, {""ticker"": ""HEAL.L"", ""name"": ""Inovação na Saúde (iShares UCITS Acc)"", ""score"": 0.7582, ""score_v3"": NaN, ""ml_prob"": 0.802, ""volatility_21"": 0.222528, ""target_weight"": 0.07797622922141642, ""weight"": 0.07797622922141642, ""contribution"": 0.0036700855231042804, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Temáticos / Inovação"", ""active"": true}, {""ticker"": ""IBZL.L"", ""name"": ""MSCI Brazil (iShares UCITS Acc)"", ""score"": 0.7163, ""score_v3"": NaN, ""ml_prob"": 0.428, ""volatility_21"": 0.280223, ""target_weight"": 0.0584974527590295, ""weight"": 0.0584974527590295, ""contribution"": -0.002234265705890507, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""Mercados Emergentes"", ""active"": true}, {""ticker"": ""IUES.L"", ""name"": ""S&P 500 Energy (iShares UCITS Acc)"", ""score"": 0.807, ""score_v3"": NaN, ""ml_prob"": 0.7, ""volatility_21"": 0.196977, ""target_weight"": 0.09375851014514737, ""weight"": 0.09375851014514737, ""contribution"": -0.0036973216663817067, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Sectores UCITS"", ""active"": true}, {""ticker"": ""MVEW.L"", ""name"": ""MSCI World ESG (Xtrackers UCITS Acc)"", ""score"": 0.7563, ""score_v3"": NaN, ""ml_prob"": 0.697, ""volatility_21"": 0.060719, ""target_weight"": 0.25, ""weight"": 0.25, ""contribution"": 0.0012306680443515683, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""ESG / Sustentável"", ""active"": true}, {""ticker"": ""VUAA.L"", ""name"": ""S&P 500 (Vanguard UCITS Acc)"", ""score"": 0.7026, ""score_v3"": NaN, ""ml_prob"": 0.748, ""volatility_21"": 0.094832, ""target_weight"": 0.1695545152507308, ""weight"": 0.1695545152507308, ""contribution"": 0.007745079229995769, ""weighting"": ""volatility_targeted_fractional_kelly"", ""kelly_multiplier"": 0.5, ""category"": ""EUA – Mercado Largo"", ""active"": true}]",BULL,166.86000061035156,155.30569984436036,,1.0,0.25,0.05,True,False,0.6497043115272905,0.0019491129345818,19.42812839627395,0.0029662045246015,0.001011310122414,0.0024662697723036,-0.0014549596498896,9977.757529659331,VWCE.DE,0.0580669853400592,10892.619979842357,-0.0022242470340668,-0.0605170095869311,2026-05-25,2026-09-24,6,0.0001318761563085,9977.757529659331,-0.061993422044404,-0.2306580426122675,-0.3944963486275356,-0.0554888585923513,0.1870837844621883,0.003,0.03,6,0,0,1.0,0,8,0.12,0.25,28.0,0.6,0.4,30 bps round-trip: 5 bps commission + 15 bps spread + 10 bps slippage,LEGACY_INCOMPLETE,False
