date,equity,point,drawdown
2026-06-02,10000.0,initial_capital,0.0
2026-06-02,9970.0,after_costs,-0.0030000000000000027
2026-06-03,9947.501239157,daily,-0.005249876084300054
2026-06-04,9928.166112367217,daily,-0.007183388763278398
2026-06-05,9768.805095048867,daily,-0.023119490495113304
2026-06-08,9743.404763450055,daily,-0.025659523654994465
2026-06-09,9568.889060836382,daily,-0.04311109391636181
2026-06-10,9554.532494968676,daily,-0.04454675050313239
2026-06-11,9578.776949434074,daily,-0.042122305056592646
2026-06-12,9802.949189563768,daily,-0.01970508104362323
2026-06-15,9983.208651881681,daily,-0.001679134811831906
2026-06-16,9942.75897655704,daily,-0.0057241023442961
2026-06-17,9958.977670893642,daily,-0.004102232910635717
2026-06-18,10012.025458100688,daily,0.0
2026-06-19,10012.385774434575,daily,0.0
2026-06-22,10021.43149739144,daily,0.0
2026-06-23,9836.587601521398,daily,-0.01844485949119712
2026-06-24,9882.071205500994,daily,-0.0139062260642826
2026-06-25,9861.795349334352,daily,-0.015929475554329886
2026-06-26,9841.398262204055,daily,-0.01796482221469542
2026-06-29,9879.462994440592,daily,-0.014166489387050452
2026-06-30,10022.189512261966,daily,0.0
2026-07-01,10026.55983825232,daily,0.0
2026-07-02,9893.774675602634,daily,-0.013243342162393312
2026-07-03,9959.182222219995,daily,-0.006719913621347273
2026-07-06,9989.92112334534,daily,-0.0036541660846823865
2026-07-07,9817.488524403901,daily,-0.020851749475507164
2026-07-08,9731.578951487008,daily,-0.02941994976581408
2026-07-09,9924.725991100533,daily,-0.010156409455941318
2026-07-10,9946.220432401944,daily,-0.008012659092091923
2026-07-13,9908.251804745463,daily,-0.011799464164717777
2026-07-14,9942.251340756013,daily,-0.008408516864843563
2026-07-15,9886.621631093969,daily,-0.0139567518087782
2026-07-16,9847.69505961106,daily,-0.0178390975096836
2026-07-17,9702.855108062444,daily,-0.03228472531076021
2026-07-20,9758.161560344279,daily,-0.02676873047563888
2026-07-21,9839.05241661418,daily,-0.018701072417957376
2026-07-22,9843.700318842291,daily,-0.01823751340039903
2026-07-23,9672.905834583582,daily,-0.03527171925105488
2026-07-24,9713.960024324595,daily,-0.03117717531940778
2026-07-27,9629.375371033157,daily,-0.039613234611522996
2026-07-28,9636.974758640705,daily,-0.03885530888922739
2026-07-29,9541.938743759285,daily,-0.04833373582872935
2026-07-30,9597.21366819228,daily,-0.04282088542692797
2026-07-31,9635.439072576293,daily,-0.0390084707003755
2026-08-03,9779.655790930412,daily,-0.02462500112749988
2026-08-04,9989.316339786441,daily,-0.0037144842365366415
2026-08-05,10034.852562409907,daily,0.0
2026-08-06,9985.873244763086,daily,-0.004880920506026731
2026-08-07,10046.794677147569,daily,0.0
2026-08-10,10044.406996510525,daily,-0.00023765596031100067
2026-08-11,10042.244083184125,daily,-0.00045293987880479225
2026-08-12,10084.137284328473,daily,0.0
2026-08-13,10163.835361639023,daily,0.0
2026-08-14,10135.663873443349,daily,-0.002771737950616582
2026-08-14,10135.66387344335,after_costs,-0.0027717379506164708
2026-08-17,10158.329275634213,daily,-0.0005417330967001366
2026-08-18,9992.11841134552,daily,-0.016894896875406684
2026-08-19,9976.576192002138,daily,-0.01842406561834431
2026-08-20,9916.182512654159,daily,-0.024366082307823556
2026-08-21,9951.480845838116,daily,-0.020893147935314715
2026-08-24,9899.744688298537,daily,-0.025983367886618258
2026-08-25,9955.795571994793,daily,-0.020468630417748268
2026-08-26,9959.071949213061,daily,-0.02014627403340208
2026-08-27,10030.8583255183,daily,-0.013083352040767271
2026-08-28,10082.33893365868,daily,-0.008018275097994132
2026-08-31,10062.046646688545,daily,-0.01001479375931802
2026-09-01,9921.092923752016,daily,-0.02388295650706629
2026-09-02,9921.696827586395,daily,-0.023823539582953357
2026-09-03,10016.233427808687,daily,-0.014522267291678492
2026-09-04,10013.965419152237,daily,-0.014745412253767354
2026-09-07,10020.234044240524,daily,-0.014128654419225284
2026-09-08,10003.480229174575,daily,-0.015777029709638013
2026-09-09,9929.303259155595,daily,-0.023075157569810156
2026-09-10,9872.60534532801,daily,-0.028653555075300874
2026-09-11,9947.314531938859,daily,-0.021303063459427007
2026-09-14,9898.56412483921,daily,-0.026099521230048328
2026-09-15,9848.107237245817,daily,-0.03106387629859164
2026-09-16,9917.723955614396,daily,-0.02421442273194585
2026-09-17,9998.641009204852,daily,-0.016253151153712952
2026-09-18,9961.31354974692,daily,-0.01992572731515052
2026-09-21,10144.410811992839,daily,-0.0019111436731352738
2026-09-22,10218.598574367976,daily,0.0
2026-09-23,10199.830977293223,daily,-0.0018366116388826015
