Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,ret_252d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_mom_126d,rs_positive
2024-08-26,550.1559102385648,550.8690092024209,546.1214157161334,547.8211669921875,35788600.0,,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,1.0,,,,0
2024-08-27,546.5512887213379,549.0618623501647,545.4083627021253,548.5734252929688,32693900.0,0.0013731822465194998,,,,,,,,,0,0,0.06000920917915664,0.012001841835831329,1,99.9999999867067,7.142857142857142,,,0.0,,1.0,,,,0
2024-08-28,548.2315309438809,548.661357929549,542.204174863817,545.3887939453125,41066000.0,-0.005805296430382967,,,,,,,,,0,0,-0.14770356018516395,-0.019939238568367726,0,75.43478874963512,13.775510204081632,,,-0.005805296430382967,,1.0,,,,0
2024-08-29,547.352316743397,550.644377643334,544.2946960843145,545.4376220703125,38715200.0,8.952902139180985e-05,,,,,,,,,0,0,-0.30486313236292517,-0.07692401732727921,0,75.53402687754335,14.851319090354755,,,-0.005716287151499522,,1.0,,,,0
2024-08-30,547.8016709409602,551.1523417216108,544.2556134288437,550.6443481445312,62700100.0,0.009545960644327556,,,,,,,,,0,0,-0.009168259831085379,-0.06337286582804044,1,83.28728731498657,15.0277313337966,,,0.0,,1.0,,,,0
2024-09-03,547.508549729637,547.8407131286382,536.8020487007664,539.3126220703125,60600100.0,-0.020579029118164005,-0.01553161037677897,,,,,,,,0,0,-0.681349362658807,-0.18696816519419376,0,47.79094906258484,18.649178310388496,,,-0.020579029118164005,,1.0,,,,0
2024-09-04,537.4760847370844,541.608242662233,536.7532075195429,538.208740234375,47224900.0,-0.002046831078605038,-0.018893888367010225,,,,,,,,0,0,-1.288281263608269,-0.4072307848770088,0,45.7456093224191,22.022023071834276,,,-0.02258373840040251,,1.0,,,,0
2024-09-05,538.1502077884983,540.9928852935313,534.4478166491117,536.8997802734375,44264300.0,-0.0024320674546598475,-0.01556506801407842,,,,,,,,0,0,-1.8535349006821207,-0.6964916080380312,0,43.37506334980708,25.575656674004147,,,-0.024960880679894215,,1.0,,,,0
2024-09-06,537.2221175565589,538.8437022454943,526.9649400293706,527.8636474609375,68493800.0,-0.016830203968230317,-0.03221995311337278,,,,,,,,0,0,-2.9961056395497963,-1.1564144143403843,0,31.312138519487192,29.635187465680957,,,-0.041370987935055226,,1.0,,,,0
2024-09-09,532.0543726925215,535.0436043247605,530.1299001804285,533.7736206054688,40445800.0,0.011196022254911231,-0.03063815618177257,,,,,,,,0,0,-3.385687641212371,-1.6022690597147817,0,42.56313117075648,33.404751772238,,,-0.03063815618177257,,1.0,,,,0
2024-09-10,535.6786451567546,536.4504138231891,530.8138314182086,536.0986938476562,36394600.0,0.0043559163518611665,-0.005959304661401488,,,,,,,,0,0,-3.466856442098674,-1.9751865361915604,0,46.29046308391756,35.91586339342783,,,-0.026415697075414468,,1.0,,,,0
2024-09-11,536.0108196239122,542.5167747623394,527.4729497044474,541.5985107421875,75248600.0,0.010258963429025103,0.00629824500125431,,,,,,,,0,0,-3.0522100644019474,-2.190591241833638,0,53.90972475656623,35.10919201032857,,,-0.016427731316638217,,1.0,,,,0
2024-09-12,542.1749203516514,546.4634120914028,539.9573969973035,546.1605834960938,51819600.0,0.008423348039961365,0.01724866271679204,,,,,,,,0,0,-2.32863561644308,-2.2182001167555265,0,59.0935667387324,32.985505299326576,,,-0.008142759775063735,,1.0,,,,0
2024-09-13,546.7662020730168,550.0094311099382,546.5122052774053,549.0130004882812,39310500.0,0.005222670911050553,0.0400659396211005,,,,,,,,0,0,-1.5076521650591985,-2.076090526416261,1,61.97338827127398,31.223778269647692,,,-0.002962615818626002,,1.0,,,,0
2024-09-16,548.7492552395013,550.0875680057417,546.9518402590558,549.8238525390625,36656100.0,0.0014769268670506985,0.030069361455869137,,,,,,,,0,0,-0.7825669365331578,-1.8173858084396404,1,62.77564691973897,29.6080279830589,,,-0.0014900645184746653,,1.0,,,,0
2024-09-17,552.0315464267048,553.4773606816602,547.8212213158272,550.0485229492188,49321000.0,0.000408622523593305,0.026021009306034015,,,,,,,,0,0,-0.18763965141863537,-1.4914365770354394,1,63.00851900835401,28.927848909881668,,,-0.0010820508688053065,,1.0,,,,0
2024-09-18,550.7030274298603,555.5385664291312,547.8603498689396,548.4171752929688,59044900.0,-0.0029658249921354907,0.012589887925351206,,,,,,,,0,0,0.15047381763304202,-1.1630544981017432,1,60.069969452406,28.730156288404167,,,-0.004044666687431309,,1.0,,,,0
2024-09-19,557.8048475354702,559.6315971955383,554.9426137920285,557.7755126953125,75315500.0,0.01706426753929513,0.02126650943000863,,,,,,,,0,0,1.1601967691552773,-0.6984042446503391,1,69.00126686599383,29.2840670349979,,,0.0,,1.0,,,,0
2024-09-20,556.4096807844697,557.8500616857909,553.793383536953,556.8114013671875,77503100.0,-0.001728493464093095,0.014204401119773946,,,,,,,,0,0,1.8611594683134172,-0.18649150205758785,1,67.33040965929595,29.40294793412043,,,-0.001728493464093095,,1.0,,,,0
2024-09-23,557.8795056148167,558.8495678561227,556.6644159380835,558.2028198242188,44116900.0,0.002498904393147816,0.015239366656180087,,,,,545.3936920166016,,,0,0,2.500133317863515,0.3508334619266327,1,68.51534977388253,29.693873933081562,,,0.0,,1.0,,,,0
2024-09-24,558.9964258828836,559.8587165873663,556.1743944512203,559.7999267578125,46805700.0,0.0028611588420435208,0.01772826105651415,,,,,545.9926300048828,,,0,0,3.099666849189589,0.900600139379224,1,69.8663796245624,30.14589548205122,,,0.0,,1.0,,,,0
2024-09-25,559.6432009533316,560.378103761662,557.4580492681129,558.5653076171875,38428600.0,-0.0022054649913506585,0.018504402818525056,0.01961249632611084,,,,546.4922241210937,,,0,0,3.435574877054023,1.407595086914184,1,67.45661668514572,30.66056543808816,0.13732124960725134,,-0.0022054649913506585,,1.0,0.0,,,0
2024-09-26,562.8179934718497,563.1413674659622,558.428192996937,560.7798461914062,48336000.0,0.003964690509809632,0.0053862771450401414,0.022251207104898585,,,,547.2617767333984,,,0,0,3.836257179711197,1.8933275054735867,1,69.48940293890321,31.614452002488903,0.13771212956234005,,0.0,,1.0,0.0,,,0
2024-09-27,561.8479471107624,562.6611965458859,558.9377006949258,559.966552734375,42100900.0,-0.0014502900961131937,0.005666463293388713,0.026729113159087436,,,,547.9882232666016,,,0,0,4.041585919639942,2.3229791883068582,1,67.81408351915547,32.50020381228959,0.13577959606548015,,-0.0014502900961131937,,1.0,0.0,,,0
2024-09-30,558.937595094156,562.8179029799776,556.6447321030395,562.2103881835938,63557400.0,0.004007088348869869,0.0071794126024604665,0.0307510252952794,,,,548.5665252685546,,,0,0,4.335393476277886,2.725462045901064,1,69.96551556769928,32.36746855956691,0.13602047706489753,,0.0,,1.0,0.0,,,0
2024-10-01,561.857759819067,562.5044480240527,554.6066943100618,557.1739501953125,72668800.0,-0.008958279843517492,-0.00469091980363201,0.011858111452126341,,,,549.4595916748046,,,0,0,4.114411255475829,3.0032518878160173,1,60.23322551756506,31.482494747342756,0.13728981341179747,,-0.008958279843517492,,1.0,0.0,,,0
2024-10-02,556.2823034605133,558.4282222492225,553.8914170466389,557.4091186523438,38097800.0,0.0004220736754632082,-0.0020699262003506247,0.033554743281480226,,,,550.4196105957031,,,0,0,3.9131490362575505,3.185231317504324,1,60.509451440620204,30.404247102420253,0.1137276447867963,,-0.008539987222153766,,1.0,0.0,,,0
2024-10-03,555.9392527365582,558.3301388916863,554.106899883147,556.3900146484375,40846500.0,-0.0018282872845175602,-0.00782808364598464,0.033781083536742695,,,,551.3941223144532,,,0,0,3.6295746244643396,3.2740999788963276,1,58.609526679796005,29.403017146420787,0.1136418981537428,,-0.010352660956623128,,1.0,0.0,,,0
2024-10-04,560.828843806913,561.8185225581165,556.6643942780399,561.4461669921875,42939100.0,0.009087424667289845,0.002642326136422568,0.04571874979395374,,,,553.0732482910156,,,0,0,3.7693780543334015,3.3731555939837423,1,64.55579793887841,29.337946402485834,0.11547361550560915,,-0.0013593153158826254,,1.0,0.0,,,0
2024-10-07,559.7999074826037,560.446655391967,555.2239297880301,556.370361328125,49964700.0,-0.009040591890144833,-0.010387618191006531,0.054003934546936305,,,,554.2030853271484,,,0,0,3.431047206478297,3.3847339164826535,1,55.87721886293698,28.722379963522048,0.1016626062281389,,-0.010387618191006531,,1.0,0.0,,,0
2024-10-08,558.9376197622599,562.230029540932,558.0655806170524,561.6322631835938,37398700.0,0.009457552416897164,0.008001653678745058,0.052191868430149224,,,,555.4797637939453,,,0,0,3.546625781883108,3.417112289562745,1,61.63518285579002,28.573386879252194,0.09995887077671962,,-0.0010283072176375807,,1.0,0.0,,,0
2024-10-09,561.6225357741174,566.0809942856702,561.0248291372598,565.5224609375,37912200.0,0.006926592378890151,0.014555453101972926,0.05488498186530766,,,,556.6759613037109,,,0,0,3.9070905745275013,3.515107946555696,1,65.24614299495327,29.209966846180993,0.10096982932215183,,0.0,,1.0,0.0,,,0
2024-10-10,564.1800368650188,565.953600014702,562.9257739624676,564.5327758789062,44138100.0,-0.0017500366951881396,0.014634988076868805,0.042345509970643125,,,,557.5945709228515,,,0,0,4.066031526203915,3.62529266248534,1,63.60594127123368,29.801076815472015,0.09796758772525155,,-0.0017500366951881396,,1.0,0.0,,,0
2024-10-11,564.4542373683208,568.6481106846586,564.3170411817416,567.9132080078125,42268000.0,0.005988017478069985,0.011518541573220853,0.03982825778542165,,,,558.5395812988281,,,0,0,4.41388547268707,3.783011224525686,1,66.68645507767175,30.82840094131273,0.09630319647658328,,0.0,,1.0,0.0,,,0
2024-10-14,569.5201665882303,573.4886890058166,569.0400397275337,572.5578002929688,36217200.0,0.008178348768201893,0.029094718356675875,0.04288568719456043,,,,559.6762786865235,,,0,0,5.006628713075997,4.027734722235749,1,70.39434931299722,32.46688090145867,0.09812332003105427,,0.0,,1.0,0.0,,,0
2024-10-15,572.8224268603595,573.1261842726946,566.8941634738084,568.1092529296875,54203600.0,-0.0077696039788559546,0.01153243887624833,0.03325683363168741,,,,560.5793151855469,,,0,0,5.059103214736297,4.234008420735859,1,63.14497401604005,33.156227495685485,0.10382989285560766,,-0.0077696039788559546,,1.0,0.0,,,0
2024-10-16,568.1092586044506,571.0978512020905,567.305757742965,570.5784912109375,30725400.0,0.0043464144766458546,0.008940458819364672,0.0373239221726156,,,,561.6873809814454,,,0,0,5.239538391296605,4.435114414848009,1,65.2821721944008,33.79633504746752,0.10416592482345013,,-0.003456959421421657,,1.0,0.0,,,0
2024-10-17,574.1158386665669,574.3216329805343,570.4413246734956,570.6275024414062,34393700.0,8.589743781750592e-05,0.010796054406249977,0.04049896346986692,,,,562.32998046875,,,0,0,5.325104871188387,4.613112506116085,1,65.32515353018357,34.872825438297724,0.10294819357203412,,-0.003371358927561241,,1.0,0.0,,,0
2024-10-18,572.3128360166068,573.6062719503354,570.8528388827377,572.8223876953125,37416800.0,0.0038464414079508735,0.008644242849573658,0.026976578672824214,,,,563.1305297851562,,,0,0,5.506549741828962,4.791799953258661,1,67.27884884865051,35.872423658354336,0.08745221618130333,,0.0,,1.0,0.0,,,0
2024-10-21,572.0973176864316,573.0771881011084,568.912738838732,571.8817749023438,36439000.0,-0.0016420670930010761,-0.0011807111706085838,0.027065490214734478,,,,563.8144775390625,,,0,0,5.510920061645834,4.935623974936096,1,65.5737251564468,36.00034211051188,0.08741522316265002,,-0.0016420670930010761,,1.0,0.0,,,0
2024-10-22,569.3537388044809,572.7343039714391,568.6972423190728,571.5780639648438,34183800.0,-0.0005310729434451211,0.00610588723430916,0.023961262225147717,,,,564.4033843994141,,,0,0,5.4273139404293715,5.033961968034752,1,65.00088841718016,36.03138921254671,0.08751600547757823,,-0.0021722679790416866,,1.0,0.0,,,0
2024-10-23,569.5594810059998,570.0004346494243,562.8571411229607,566.3552856445312,49314600.0,-0.009137471588891777,-0.007401620691034672,0.011710181751336313,,,,564.7928833007812,,,0,0,4.883328948791359,5.003835364186073,0,55.9493590062437,34.04680543958036,0.09416498371799505,,-0.011289890530991498,,1.0,0.0,,,0
2024-10-24,568.3052337104026,568.3836400907534,564.9639018539431,567.5801391601562,34979900.0,0.0021626945959039023,-0.0053403722537241904,0.016139261461521004,,,,565.1328979492188,,,0,0,4.4991885212753004,4.902905995603919,0,57.445975600731295,32.20397765039731,0.09375688719663514,,-0.009151612520327368,,1.0,0.0,,,0
2024-10-25,569.8043437567766,572.6949728800472,566.4433960638868,567.384033203125,47268200.0,-0.00034551236644997374,-0.009493962891478636,0.011776790939566961,,,,565.5037719726563,,,0,0,4.131307215153129,4.748586239513761,0,57.111416711136734,31.477816580460726,0.09309834250774285,,-0.009493962891478636,,1.0,0.0,,,0
2024-10-28,570.8529569215461,570.9803448675634,568.8344261393737,569.13818359375,30174700.0,0.0030916456720186947,-0.004797479879582234,0.016378890515136968,,,,565.8501617431641,,,0,0,3.935932921401786,4.586055575891367,0,59.38971072617048,30.803524158376753,0.0931834242549897,,-0.006431669188743605,,1.0,0.0,,,0
