Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,rs_ratio,rs_mom_21,rs_positive,score
2024-05-23 04:00:00,115.43735918745436,115.43735918745436,113.5519484825735,113.68197631835938,451000,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,0.2214021221286046,,0,
2024-05-24 04:00:00,114.09991301999209,114.4899964969187,113.9791749207486,114.40641021728516,214700,0.0063724604584376,,,,,,,,0,0,0.0577895987747041,0.0115579197549408,1,99.99999998619612,0.0,,,0.0,0.2213483917288745,,0,
2024-05-28 04:00:00,114.35067536910124,114.7593311747383,113.18970768698068,113.45905303955078,346600,-0.0082806302193654,,,,,,,,0,0,0.0268351266703916,0.0146133611380309,1,90.86003499290794,7.142857142857142,,,-0.0082806302193654,0.2193622390909978,,0,
2024-05-29 04:00:00,112.51171657768042,112.51171657768042,111.72225985080556,112.01017761230467,270400,-0.0127700292610501,,,,,,,,0,0,-0.1133025721850486,-0.0109698255265849,0,78.97177218237931,13.775510204081632,,,-0.0209449155902143,0.2180881550785933,,0,
2024-05-30 04:00:00,112.34454575154211,113.4404997799402,112.34454575154211,113.39405822753906,355400,0.0123549542080394,,,,,,,,0,0,-0.1114108333529628,-0.0310580270918605,0,81.46615591355948,15.470148436076228,,,-0.0088487348551833,0.2222570117018065,,0,
2024-05-31 04:00:00,113.44049214967592,115.66026215421158,113.36618850522636,115.6045379638672,490000,0.0194937880421612,0.0169117542443475,,,,,,,0,0,0.0676755031980889,-0.0113113210338706,1,84.60706053602433,16.06466338755604,,,0.0,0.2245444742312015,,0,
2024-06-03 04:00:00,115.66954937001393,115.8088669288358,114.15564984864568,114.81507873535156,829600,-0.0068289640045305,0.0035720771003149,,,,,,,0,0,0.1442372756775967,0.0197983983084228,1,79.4297939222973,16.786205415359362,,,-0.0068289640045305,0.2228293470450562,,0,
2024-06-04 04:00:00,114.1184933812877,114.75934278820182,113.88629982136598,114.4621353149414,287800,-0.0030740162729295,0.0088409188030236,,,,,,,0,0,0.1744228100299381,0.0507232806527258,1,77.15664786057947,16.939858159123954,,,-0.0098819879309829,0.2218963169554511,,0,
2024-06-05 04:00:00,114.55502485409993,114.67577005455333,113.6634023289913,114.22067260742188,280900,-0.002109542224205,0.0197347691275722,,,,,,,0,0,0.176822738509216,0.0759431722240239,1,75.56339384631586,16.66980766107445,,,-0.0119706836843884,0.2188274425405801,,0,
2024-06-06 04:00:00,113.8955918021844,114.49000679745193,113.5055082901624,113.76556396484376,462900,-0.003984468241947,0.0032762363664524,,,,,,,0,0,0.1403829874709714,0.0888311352734134,1,72.52362288797033,16.13019387709498,,,-0.0159074551173606,0.2179595839259024,,0,
2024-06-07 04:00:00,113.05040396216364,113.98846794801976,112.79963094403104,113.27330780029295,233300,-0.0043269346838813,-0.0201655592819625,,,,,,,0,0,0.0709652208247462,0.0852579523836799,0,69.27737561932429,15.471073572336335,,,-0.0201655592819625,0.21728065145213,,0,
2024-06-10 04:00:00,112.69746532513796,113.30117001143152,112.17735400697012,113.01325225830078,343400,-0.0022958236767541,-0.0156932913071808,,,,,,,0,0,-0.0049758101917376,0.0672111998685964,0,67.55696594448509,15.672428475152774,,,-0.0224150863902621,0.2161140656695931,,0,
2024-06-11 04:00:00,112.36744483916696,112.55463460930008,111.69357594780698,112.51719665527344,316500,-0.0043893578241034,-0.0169919830196815,,,,,,,0,0,-0.1039884517117997,0.0329712695525172,0,64.27789348272734,16.40158019724793,,,-0.0267060563795404,0.2146485178684579,,0,
