Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,ret_252d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_mom_126d,rs_positive,score,score_pct
2024-06-25,63.02999877929688,63.02999877929688,62.16999816894531,62.7599983215332,7964.0,,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.1179188783771122,,,,0,,
2024-06-26,62.97999954223633,63.27000045776367,62.59999847412109,62.63999938964844,6278.0,-0.0019120289211925,,,,,,,,,0,0,-0.0095725643668771,-0.0019145128733754,0,0.0,7.142857142857142,,,-0.0019120289211925,,0.1175467108711268,,,,0,,
2024-06-27,62.63999938964844,63.15999984741211,62.63999938964844,62.915000915527344,78892.0,0.0043901904303713,,,,,,,,,0,0,0.0049740959783903,-0.0005367911030222,1,14.98656011774709,13.775510204081632,,,0.0,,0.1178769213475256,,,,0,,
2024-06-28,63.54999923706055,64.16000366210938,63.369998931884766,63.84999847412109,2454.0,0.0148612818085962,,,,,,,,,0,0,0.0909010670657295,0.017750780530728,1,45.10779145055168,19.934402332361515,,,0.0,,0.1201013438462546,,,,0,,
2024-07-01,63.86000061035156,63.97999954223633,62.61000061035156,63.02999877929688,4159.0,-0.0128425953707196,,,,,,,,,0,0,0.0917737773952964,0.0325553799036417,1,33.79781591250655,19.880558290782,,,-0.0128425953707196,,0.118315434882908,,,,0,,
2024-07-02,62.900001525878906,63.54999923706055,62.720001220703125,63.36000061035156,1694.0,0.0052356312461658,0.0095602661705695,,,,,,,,0,0,0.1177366021832782,0.049591624359569,1,40.28667979006186,19.830560252172447,,,-0.0076742032181585,,0.118139836043447,,,,0,,
2024-07-03,63.84999847412109,64.40119934082031,63.7400016784668,64.3499984741211,22923.0,0.0156249661337248,0.0272988362250086,,,,,,,,0,0,0.2157103075778863,0.0828153610032325,1,54.64802550933492,21.771240498265158,,,0.0,,0.1194526797335561,,,,0,,
2024-07-04,64.5,64.5,64.3363037109375,64.3499984741211,6923.0,0.0,0.0228085120831587,,,,,,,,0,0,0.2900120960485566,0.1242547080122973,1,54.64802550933492,23.729470803094955,,,0.0,,0.1194526797335561,,,,0,,
2024-07-05,64.52999877929688,64.91000366210938,64.36000061035156,64.83000183105469,1629.0,0.007459259802883,0.0153485259256631,,,,,,,,0,0,0.3832116329128894,0.1760460929924157,1,60.05074024893334,26.11280537851638,,,0.0,,0.1196537539976591,,,,0,,
2024-07-08,65.05000305175781,65.63999938964844,65.0,65.58999633789062,17171.0,0.0117228826989155,0.0406155419351619,,,,,,,,0,0,0.5124904713671654,0.2433349686673657,1,66.79546334243824,29.030326114258308,,,0.0,,0.1209168910970298,,,,0,,
