Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,rs_ratio,rs_mom_21,rs_positive,score,score_pct
2024-05-23 04:00:00,66.53372991485575,66.56152065125222,66.24654954830909,66.3206558227539,3589900,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,0.1291632536278062,,0,,
2024-05-24 04:00:00,66.30214485675417,66.4133148933759,66.26508817788026,66.39478302001953,4025200,0.001117709050763,,,,,,,,0,0,0.0059132806935622,0.0011826561387124,1,99.99999986509675,0.0,,,0.0,0.1284576789333053,,0,,
2024-05-28 04:00:00,66.45962968159049,66.45962968159049,66.06127922304682,66.0798110961914,4743400,-0.0047439257950907,,,,,,,,0,0,-0.0146471603299005,-0.0019833071550101,0,75.36636593632154,7.142857142857142,,,-0.0047439257950907,0.1277589863646855,,0,,
2024-05-29 04:00:00,65.9593800238704,65.96864596113097,65.74631294175178,65.83895111083984,4877500,-0.0036449859852193,,,,,,,,0,0,-0.0498027507286877,-0.0115471958697456,0,62.65574225886756,13.775510204081634,,,-0.0083716202372721,0.128190973175813,,0,,
2024-05-30 04:00:00,66.07055528750885,66.16319346391596,66.01497379523255,66.12613677978516,3723200,0.0043619417396525,,,,,,,,0,0,-0.0538693536525727,-0.020011627426311,0,69.30332075329666,15.740886745554684,,,-0.0040461950173611,0.129609928664395,,0,,
2024-05-31 04:00:00,66.28361691310218,66.40404581286168,66.27435097686269,66.36698913574219,4193000,0.0036423170577637,0.0006986256757186,,,,,,,0,0,-0.0372282494436291,-0.0234549518297746,0,73.55496237352307,14.727112302406857,,,-0.0004186154847281,0.1289079060179648,,0,,
2024-06-03 04:00:00,66.50546093839101,66.74706443131689,66.46829062490146,66.7377700805664,4798900,0.0055868278741084,0.0051658736567217,,,,,,,0,0,0.0058118733777661,-0.0176015867882665,1,78.49338732838189,15.750717808975084,,,0.0,0.129522479922464,,0,,
2024-06-04 04:00:00,66.86784166771051,67.03510448121477,66.82138410754887,66.98863983154297,5298400,0.0037590370591302,0.0137535008087203,,,,,,,0,0,0.0594789369382198,-0.0021854820429692,1,81.06927589127045,17.786514086830827,,,0.0,0.1298641743556734,,0,,
2024-06-05 04:00:00,67.07229817718587,67.183809121586,66.90503530534201,67.17451477050781,5506400,0.0027747232878927,0.0202853119184651,,,,,,,0,0,0.1156755894236596,0.0213867322503565,1,82.72062990835624,20.100610008228585,,,0.0,0.1286949808259095,,0,,
2024-06-06 04:00:00,67.06300969638856,67.21169096860336,67.06300969638856,67.1838150024414,4119700,0.0001384488144851,0.0159948588283413,,,,,,,0,0,0.1591279642667871,0.0489349786536426,1,82.80146909512598,22.324258156904275,,,0.0,0.1287151765598304,,0,,
2024-06-07 04:00:00,66.74708356237488,66.74708356237488,66.63557258994494,66.64486694335938,3826500,-0.00802199248528,0.0041869883090346,,,,,,,0,0,0.1483654160345793,0.0688210661298299,1,64.08952542562872,21.604760393090984,,,-0.00802199248528,0.1278380616457658,,0,,
2024-06-10 04:00:00,66.55192740764319,66.5798033711383,66.47758677864783,66.54263305664062,3925100,-0.0015340099156568,-0.0029239368305266,,,,,,,0,0,0.1300870363875219,0.0810742601813683,1,61.26138908466484,20.19058365720346,,,-0.0095436965849212,0.1272487843935507,,0,,
2024-06-11 04:00:00,66.60767011480107,66.83997923112089,66.58908850488059,66.81210327148438,4073200,0.0040495874970016,-0.0026353208619033,,,,,,,0,0,0.1357800946984468,0.092015427084784,1,65.57364837839776,19.870926915170056,,,-0.0055327571222849,0.1274571446768788,,0,,
2024-06-12 04:00:00,67.29528633059341,67.44396753092258,67.10944191969182,67.11873626708984,4495700,0.0045894827522416,-0.000830352159722,,,,,,,0,0,0.1631538682986217,0.1062431153275516,1,69.70610865021207,21.148527233579856,,,-0.0009686668634283,0.1269990535760274,,0,,
2024-06-13 04:00:00,67.33247221081938,67.4997350551379,67.26742594300168,67.41610717773438,4339600,0.0044305201078456,0.0034575615464012,,,,,,,0,0,0.2064631496801041,0.1262871221980621,1,73.08086945068811,22.44755126794864,,,0.0,0.1273054065168462,,0,,
2024-06-14 04:00:00,67.5183334350586,67.58337971220266,67.46257441928333,67.5183334350586,3527000,0.0015163476742243,0.0131062830756578,,,,,,,0,0,0.2461968675897026,0.1502690712763902,1,74.14708759435898,23.82420673859312,,,0.0,0.1274209036235616,,0,,
2024-06-17 04:00:00,67.24883630034863,67.28600660459169,67.17449569186248,67.26741790771484,4019000,-0.0037162577122121,0.0108920374469896,,,,,,,0,0,0.2545055575872936,0.1711163685385709,1,67.11983330657463,23.81388134097997,,,-0.0037162577122121,0.1259450224541574,,0,,
2024-06-18 04:00:00,67.35105121797017,67.59264755537738,67.34175686975897,67.49972534179688,8491900,0.0034534911745942,0.0102918788160046,,,,,,,0,0,0.2766465139214347,0.1922223976151436,1,69.95861369210417,24.49849962130583,,,-0.0002756006008296,0.126059663148771,,0,,
2024-06-20 04:00:00,67.27674479243137,67.39754302250864,67.2302801172787,67.36966705322266,4227800,-0.001926797300517,0.003738610112298,,,,,,,0,0,0.2804657300357576,0.2098710640992664,1,66.49714509659506,24.681727208384387,,,-0.002201866874853,0.1261595023270912,,0,,
2024-06-21 04:00:00,67.4997403048393,67.53691061641335,67.3046014862096,67.38822937011719,4115300,0.0002755292954004,-0.0004135185015012,,,,66.83949432373046,,,0,0,0.2817425573415733,0.2242453627477278,1,66.75001057544317,25.16494160716517,,,-0.0019269442582812,0.1263636650803426,,0,,
2024-06-24 04:00:00,67.40680291463134,67.44397321784786,67.3324623081983,67.42538452148438,31937200,0.0005513596619837,-0.0013766470356324,,,,66.894730758667,,,0,0,0.2824961229199658,0.2358955147821754,1,67.28231711478693,25.61364069174732,,,-0.0013766470356324,0.1268456648641995,,0,,
2024-06-25 04:00:00,67.43468660280368,67.47185691028274,67.35105872810924,67.46256256103516,5958500,0.0005513952914713,0.0029010278585099,0.0172179651138111,,,66.94811973571777,,,0,0,0.2828329638025764,0.2452830045862556,1,67.83716853062334,26.097630275126463,0.057731682712129,,-0.0008260108208547,0.1264287345066249,-0.0211710300288736,0,,
2024-06-26 04:00:00,67.18381491028788,67.2023965245326,67.11876862616144,67.14664459228516,5910600,-0.0046828634542925,-0.0052308472030638,0.0113241061732052,,,67.00146141052247,,,0,0,0.2546722693937795,0.2471608575477604,1,58.72376540300496,25.508468841209737,0.0607710872303252,,-0.0055050061792615,0.1256798472417177,-0.021624489206518,0,,
2024-06-27 04:00:00,67.27671225615327,67.33246416776257,67.2395419519102,67.26741790771484,5514800,0.0017986500466706,-0.0015177326826779,0.0179723094213246,,,67.07288475036621,,,0,0,0.2393411377471466,0.2455969135876377,0,60.887055321272186,25.325867988243026,0.0577499907813641,,-0.0037162577122121,0.1257077057791747,-0.0160558614613262,0,,
