Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,ret_252d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_mom_126d,rs_positive,score,score_pct
2024-06-05,5295.0,5350.0,5275.0,5342.5,8432.0,,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,,,,,0,,
2024-06-06,5377.0,5382.0,5364.0,5365.5,2718.0,0.0043051006083294,,,,,,,,,0,0,1.8347578347575109,0.3669515669515022,1,99.99999999956522,7.1428571428571415,,,0.0,,10.279579398172022,,,,0,,
2024-06-07,5366.0,5396.0,5356.0,5385.0,21277.0,0.0036343304445065,,,,,,,,,0,0,4.806892801193499,1.2549398137999015,1,99.99999999956044,13.77551020408163,,,0.0,,10.32949471342414,,,,0,,
2024-06-10,5367.0,5378.0,5355.0,5375.0,11244.0,-0.0018570102135562,,,,,,,,,0,0,6.282988369755913,2.260549524991104,1,96.72935404742437,19.59092833824964,,,-0.0018570102135562,,10.278556538830545,,,,0,,
2024-06-11,5390.0,5402.0,5355.0,5368.0,24456.0,-0.0013023255813953,,,,,,,,,0,0,6.80946793635303,3.1703332072634893,1,94.40181695414644,25.122598641545004,,,-0.0031569173630454,,10.240509116220268,,,,0,,
2024-06-12,5398.0,5422.0,5385.0,5414.0,10073.0,0.008569299552906,0.0133832475432849,,,,,,,,0,0,10.813866822589262,4.699039930328643,1,95.2164036683922,30.313363345758145,,,0.0,,10.244126080057873,,,,0,,
2024-06-13,5413.0,5419.0,5392.0,5403.5,11440.0,-0.0019394163280384,0.0070822849687819,,,,,,,,0,0,12.99037459018018,6.357306862298952,1,91.92822612808897,35.13335914252749,,,-0.0019394163280384,,10.203715297595393,,,,0,,
2024-06-14,5427.0,5441.0,5399.73193359375,5432.0,18911.0,0.005274359211622,0.0087279480037141,,,,,,,,0,0,16.821081535271333,8.45006179689343,1,92.66832065319105,39.64786519469898,,,0.0,,10.251296099819124,,,,0,,
2024-06-17,5456.0,5457.0,5434.0400390625,5445.0,6672.0,0.0023932253313696,0.0130232558139535,,,,,,,,0,0,20.66769146051047,10.893587729616838,1,92.98430953350838,43.85911097260239,,,0.0,,10.194691430498452,,,,0,,
2024-06-18,5478.0,5490.0,5471.0,5488.0,11682.0,0.0078971533516987,0.0223546944858419,,,,,,,,0,0,26.87608736819948,14.090087657333369,1,93.91804028694602,47.7958687955516,,,0.0,,10.249158037304197,,,,0,,
2024-06-19,5497.0,5497.0,5481.3662109375,5485.0,7638.0,-0.0005466472303207,0.0131141485038788,,,,,,,,0,0,31.194618778858967,17.510993881638488,1,92.98818260000392,51.45560137615736,,,-0.0005466472303207,,10.243555363449984,,,,0,,
2024-06-20,5509.0,5523.0,5509.0,5510.5,13777.0,0.0046490428441203,0.0198019801980198,,,,,,,,0,0,36.25677736237958,21.260150577786707,1,93.57085481132832,54.866743716520695,,,0.0,,10.31921172424064,,,,0,,
2024-06-21,5487.0,5510.0,5481.48486328125,5493.5,6324.0,-0.0030850195082116,0.011321796759941,,,,,,,,0,0,38.45354802055317,24.69883006634,1,88.30267038401863,55.55179120801425,,,-0.0030850195082116,,10.30118761996573,,,,0,,
2024-06-24,5487.0,5494.0,5477.0,5488.0,30794.0,-0.0010011832165286,0.0078971533516987,,,,,,,,0,0,39.29770112287679,27.61860427764736,1,86.60381715810063,55.8388628054426,,,-0.0040831140549859,,10.324436317974028,,,,0,,
2024-06-25,5465.0,5481.9501953125,5453.73193359375,5482.0,55843.0,-0.0010932944606414,-0.0010932944606414,,,,,,,,0,0,39.032605107627205,29.90140444364333,1,84.6896252448441,54.48260596794509,,,-0.0051719444696488,,10.273585460312043,,,,0,,
2024-06-26,5503.0,5513.0,5479.0,5483.0,11176.0,0.0001824151769427,-0.0003646308113035,,,,,,,,0,0,38.45986486653328,31.61309652822132,1,84.75012424275181,53.989383581995824,,,-0.0049904727338716,,10.26265017242368,,,,0,,
2024-06-27,5480.0,5491.0,5475.0,5472.5,15575.0,-0.0019150100310049,-0.0068959259595318,,,,,,,,0,0,36.73524086149882,32.63752539487682,1,81.12525442338787,53.288705361135534,,,-0.0068959259595318,,10.22687418774305,,,,0,,
2024-06-28,5496.0,5509.0,5474.0,5480.0,10203.0,0.0013704888076746,-0.0024574497132975,,,,,,,,0,0,35.563695092751004,33.22275933445165,1,81.72647126653145,53.03827407334497,,,-0.0055348879412031,,10.281349363893588,,,,0,,
2024-07-01,5466.0,5467.0,5409.0498046875,5438.0,11618.0,-0.0076642335766423,-0.0091107871720116,,,,,,,,0,0,30.890105728714843,32.756228613304295,0,68.55684206091973,49.80371687675913,,,-0.0131567008438435,,10.181595779085354,,,,0,,
2024-07-02,5434.0,5439.0,5405.85400390625,5426.5,5994.0,-0.002114748069143,-0.010124042320321,,,,,5438.875,,,0,0,25.95905872579624,31.396794635802685,0,65.4470311447145,46.68743803084843,,,-0.0152436258052808,,10.092147894586349,,,,0,,
2024-07-03,5452.0,5455.0,5422.06982421875,5436.0,7122.0,0.0017506680180594,-0.0085719496625934,,,,,5443.55,,,0,0,22.55770784059314,29.62897727676077,0,66.78731745580548,44.28437278266681,,,-0.0135196443153978,,10.06489881131176,,,,0,,
2024-07-04,5452.0,5460.0,5442.0,5445.0,8883.0,0.0016556291390728,-0.0050251256281407,0.0191857744501637,,,,5447.525,,,0,0,20.35371261326236,27.773924344061093,0,68.05165817006612,42.20230114311083,0.0615565496870519,,-0.0118863986934034,,10.081562551065588,,,,0,,
2024-07-05,5470.0,5470.0,5428.0,5443.5,28572.0,-0.0002754820936639,-0.0066605839416058,0.0145373217780262,,,,5450.45,,,0,0,18.27532646520285,25.87420476828945,0,67.58983577092258,39.71298180441458,0.0604101087352677,,-0.0121586062970692,,10.02100059101522,-0.0251546096528797,,,0,,
2024-07-08,5452.0,5461.0,5442.0,5447.0,7647.0,0.00064296867824,0.0016550202280249,0.0115134633240483,,,,5454.05,,,0,0,16.717897700024878,24.04294335463653,0,68.1332555573476,37.40147098991092,0.0594570504146662,,-0.0115234552218491,,10.01588604533451,-0.0303605042444203,,,0,,
2024-07-09,5467.0,5470.0,5455.0,5457.0,4212.0,0.0018358729575913,0.005620565742191,0.0152558139534884,,,,5458.5,,,0,0,16.10489342303481,22.45533336831619,0,69.69662580751813,35.572613080458154,0.0589458257295338,,-0.0097087378640776,,10.02452416649811,-0.0247147905810259,,,0,,
2024-07-10,5466.0,5479.7001953125,5430.39990234375,5456.0,29991.0,-0.0001832508704416,0.0036791758646064,0.0163934426229508,,,,5460.6,,,0,0,15.361315788092725,21.0365298522715,0,69.33032987526337,33.1773623248785,0.0585865806458144,,-0.0098902095998548,,9.924482493313633,-0.0308604405620879,,,0,,
2024-07-11,5485.0,5501.0,5432.0,5432.0,5520.0,-0.0043988269794721,-0.0023875114784205,0.0033247137052088,,,,5462.025,,,0,0,12.68915307367206,19.36705449655161,0,61.039008682590605,31.415995904526664,0.0539007645197156,,-0.0142455312585064,,9.966764865894556,-0.0270751464786491,,,0,,
2024-07-12,5421.0,5457.0,5415.0,5456.5,5608.0,0.0045103092783504,0.0023881693763203,0.0098084574812622,,,,5463.25,,,0,0,12.405388518799557,17.9747213010012,0,65.56616410118656,29.19657561494453,0.0553414590318921,,-0.0097994737319662,,9.948965633286695,-0.0249663634155619,,,0,,
2024-07-15,5460.0,5468.0,5441.0,5458.0,363756.0,0.0002749014936314,0.0020194602533505,0.0047864506627393,,,,5463.9,,,0,0,12.16135203257454,16.81204744731587,0,65.82796797508902,27.472449784386573,0.0525110942750396,,-0.0095272661283005,,9.92440620116462,-0.0318876652738839,,,0,,
2024-07-16,5447.0,5472.0,5433.0,5461.5,5197.0,0.0006412605349945,0.0008246289169873,0.0030303030303029,,,,5462.575,,,0,0,12.110766728180351,15.871791303488768,0,66.46859301334396,25.5678180544516,0.0519505325356962,,-0.0088921150530805,,9.872228314132508,-0.0316304930428069,,,0,,
