Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,ret_252d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_mom_126d,rs_positive,score,score_pct
2024-08-21,1757.8296778563931,1764.323507300023,1739.846765550957,1759.0784912109375,5086.0,,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,,,,,0,,
2024-08-22,1752.8344602814243,1756.830663097683,1725.360565919647,1744.342529296875,6919.0,-0.0083770917487134,,,,,,,,,0,0,-1.1755183293269056,-0.2351036658653811,0,0.0,7.142857142857142,,,-0.0083770917487134,,3.210306929847816,,,,0,,
2024-08-23,1743.3434575888873,1750.8363377790974,1725.360545132383,1749.5875244140625,9118.0,0.0030068607679374,,,,,,,,,0,0,-1.664708084216727,-0.5210245495356504,0,2.664970526357564,13.775510204081632,,,-0.0053954197293046,,3.1861066250229246,,,,0,,
2024-08-27,1761.8259557522197,1772.3159883779065,1737.349212958951,1756.3311767578125,2048.0,0.0038544241140541,,,,,,,,,0,0,-1.4910502056779933,-0.715029680764119,0,6.12882342006408,14.681636124274762,,,-0.0015617918511605,,3.201634077028193,,,,0,,
2024-08-28,1754.8324515216386,1764.822957935084,1750.3367236355884,1757.330078125,4373.0,0.0005687431735006,,,,,,,,,0,0,-1.2583169985491622,-0.8236871443211278,0,6.658701836283782,15.523038764454098,,,-0.0009939369361136,,3.2221602233749085,,,,0,,
2024-08-29,1766.3216206395348,1816.7736805050872,1749.8372842478198,1772.066162109375,4682.0,0.0083854957971798,0.0073832242070659,,,,,,,,0,0,0.1138916952315867,-0.636171376410585,1,14.340512580930463,19.6632789199858,,,0.0,,3.2488887645541573,,,,0,,
2024-08-30,1776.312121268146,1839.7518398848656,1756.8306328740352,1767.8201904296875,27921.0,-0.0023960570832374,0.0134593181892297,,,,,,,,0,0,0.8489760740849306,-0.3391418863114819,1,13.983418372360717,23.949955603059514,,,-0.0023960570832374,,3.210457698035726,,,,0,,
2024-09-02,1768.3195934274152,1822.767852095096,1754.3328847788366,1772.3157958984375,15059.0,0.0025430219052182,0.0129906456048758,,,,,,,,0,0,1.7738457407895112,0.0834556391087167,1,16.358272330853623,27.588998320128383,,,0.0,,3.218621962287608,,,,0,,
2024-09-03,1766.3217389708498,1783.3056018455695,1713.871574210686,1754.3331298828125,8328.0,-0.0101464231471847,-0.0011376253530318,,,,,,,,0,0,1.043729293333854,0.2755103699537442,1,14.619517538239393,27.008004630359583,,,-0.0101464231471847,,3.2529057509321424,,,,0,,
2024-09-04,1735.8504366936409,1743.8428415820144,1721.863728138987,1736.8494873046875,3454.0,-0.0099659764045457,-0.0116543790351352,,,,,,,,0,0,-0.9349001437346942,0.0334282672160565,0,13.1554256482206,26.46851048985998,,,-0.0200112805380551,,3.227091950636504,,,,0,,
2024-09-05,1745.8409153649568,1767.8200284625414,1735.8504094115092,1742.34423828125,3005.0,0.0031636310553826,-0.016772468468528,,,,,,,,0,0,-2.036126546228161,-0.3804826954727869,0,16.002522982302523,26.996736012593672,,,-0.0169109577912406,,3.245195283067343,,,,0,,
2024-09-06,1749.337620369304,1804.7849292959152,1726.8589816152723,1727.8580322265625,806.0,-0.0083142043554937,-0.0226053296706673,,,,,,,,0,0,-4.031301828370715,-1.110646522052373,0,14.639861676031956,28.568990313068923,,,-0.0250845609878108,,3.273303325112658,,,,0,,
2024-09-09,1750.3368186592138,1760.3273256150312,1737.848684964442,1753.83349609375,5026.0,0.0150333322429938,-0.0104283332843164,,,,,,,,0,0,-3.47641580841173,-1.583800379324244,0,26.69390830273599,30.0289407349388,,,-0.0104283332843164,,3.285724936274691,,,,0,,
