Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,rs_ratio,rs_mom_21,rs_positive,score,score_pct
2024-05-23 04:00:00,286.2407736757812,286.2407736757812,281.6339340167147,282.2305603027344,782200,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,0.5496600215486499,,0,,
2024-05-24 04:00:00,283.0228185571683,284.5584417274416,282.6902683542368,284.05963134765625,802000,0.006480768925094,,,,,,,,0,0,0.1459088013042446,0.0291817602608489,1,99.99999999453274,0.0,,,0.0,0.549585900470156,,0,,
2024-05-28 04:00:00,284.68565647955774,284.68565647955774,282.6903250128278,283.9422912597656,880800,-0.0004130825887999,,,,,,,,0,0,0.2492015725080705,0.0731857227102932,1,99.50893997445722,7.142857142857142,,,-0.0004130825887999,0.5489752920964186,,0,,
2024-05-29 04:00:00,281.78072022383674,282.61211088331095,281.63401124845467,281.92742919921875,2751000,-0.0070960266313536,,,,,,,,0,0,0.166559316370467,0.091860441442328,1,91.22508560951398,12.338621033295237,,,-0.0075061779751024,0.54892369173515,,0,,
2024-05-30 04:00:00,281.12538985865154,281.6633326792364,279.61910817209224,280.3918151855469,2367400,-0.0054468414727634,,,,,,,,0,0,-0.0225861254703545,0.0689711280597915,0,85.39060907666779,18.095551094381022,,,-0.0129121344863691,0.5495794746470231,,0,,
2024-05-31 04:00:00,280.9981895613797,282.78809835887927,277.9758659480516,282.5337829589844,3401800,0.0076391950742928,0.0010743792448442,,,,,,,0,0,0.0003496171276538,0.0552468258733639,0,86.67115641661792,23.624438880872056,,,-0.0053715777262429,0.5487794280690407,,0,,
2024-06-03 04:00:00,283.67819444938726,283.7270874842925,280.12768851781874,282.7392272949219,590200,0.000727149630695,-0.0046483340363078,,,,,,,0,0,0.0347039537435875,0.0511382514474087,0,86.7907499269372,26.208623213609247,,,-0.0046483340363078,0.5487310386066276,,0,,
2024-06-04 04:00:00,282.2990575065451,283.34563107823897,281.2133814484295,282.9934997558594,760700,0.0008993179452678,-0.0033414941455066,,,,,,,0,0,0.081508100924907,0.0572122213429083,1,86.94685610995869,28.608222951150925,,,-0.0037531964212543,0.548611316532603,,0,,
2024-06-05 04:00:00,284.32375628176914,286.2799553522142,282.94463235519794,286.2016906738281,399200,0.0113366240593386,0.0151608571281975,,,,,,,0,0,0.3731732113930093,0.1204044193529285,1,88.75289914398303,26.8387184430354,,,0.0,0.5483139136835594,,0,,
2024-06-06 04:00:00,286.3386589423055,286.68099977339784,285.20405982026773,286.1821594238281,683900,-6.824295815310855e-05,0.0206509032171624,,,,,,,0,0,0.59587502772672,0.2154985410276868,1,88.67246207196446,25.57592998376586,,,-6.824295815310855e-05,0.5482867531714287,,0,,
2024-06-07 04:00:00,285.5169946759934,287.1797457187384,284.959470863474,285.732177734375,572600,-0.0015723610806455,0.0113203976596842,,,,,,,0,0,0.727669933926677,0.3179328196074849,1,86.72237345717593,24.851280585343098,,,-0.0016404967362272,0.5480908755641672,,0,,
2024-06-10 04:00:00,285.21382874795967,286.8374775487,284.939962073692,286.641845703125,437200,0.0031836385245893,0.013802889841431,,,,,,,0,0,0.8952016222294219,0.4333865801318722,1,87.32903706578043,24.154484178041503,,,0.0,0.5481421532233526,,0,,
2024-06-11 04:00:00,285.98781724089554,287.35076904296875,284.644465707344,287.35076904296875,1205000,0.0024732025364433,0.0153970649179873,,,,,,,0,0,1.0728092043091235,0.5612711049673226,1,87.79698309193162,23.967895599474904,,,0.0,0.5481777514786561,,0,,
2024-06-12 04:00:00,290.1355649961252,291.1651326951704,289.22362883300246,289.7727355957031,874000,0.0084286064756353,0.0124773718613171,,,,,,,0,0,1.3929400069622488,0.7276048853663079,1,89.25672591456748,25.9127264232911,,,0.0,0.5482948088628224,,0,,
2024-06-13 04:00:00,290.75325600163006,290.75325600163006,288.5470140947025,289.9295959472656,516300,0.0005413219820009,0.0130945846903323,,,,,,,0,0,1.6403938546702648,0.9101626792270994,1,89.34561881815492,26.991404046369222,,,0.0,0.5474894148964126,,0,,
2024-06-14 04:00:00,289.2530313856453,289.9982604980469,288.4490014699241,289.9982604980469,466500,0.0002368318093117,0.0149303547031296,,,,,,,0,0,1.8210515188380896,1.0923404471492977,1,89.3870161188159,27.888323647512102,,,0.0,0.5472860892485195,,0,,
2024-06-17 04:00:00,289.7139109718453,292.8811049825221,289.2726804875582,292.14569091796875,1738400,0.0074049768996333,0.019201122576304,,,,,,,0,0,2.1131446907144777,1.2965012958623336,1,90.61514154081416,29.790816580716918,,,0.0,0.5469853391475603,,0,,
2024-06-18 04:00:00,292.2240935800426,292.9693226688926,292.0377863078301,292.9104919433594,711700,0.0026178754271113,0.0193482095729462,,,,,,,0,0,2.378920964828694,1.512985229655606,1,91.01397086535378,31.583720228632934,,,0.0,0.5470273806322683,,0,,
2024-06-20 04:00:00,293.3811863894429,293.763586129806,291.253375266664,291.9005432128906,423100,-0.0034479773113216,0.0073430221542867,,,,,,,0,0,2.4794743183014702,1.7062830473847788,1,85.82694335699715,33.48311389018073,,,-0.0034479773113216,0.5466261071682392,,0,,
2024-06-21 04:00:00,292.0083634461894,292.2731316283615,290.94938048971466,291.8515014648437,510300,-0.0001680084165214,0.006628869713348,,,,286.57178497314453,,,0,0,2.526087155869845,1.870243869081792,1,85.57191232775223,34.917704369444934,,,-0.0036154064386346,0.5472679948433125,,0,,
