Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,rs_ratio,rs_mom_21,rs_positive,score
2024-05-23 04:00:00,237.7366374630441,237.8254778342248,229.17800192833292,230.91539001464844,4704800,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,0.4497208707757217,,0,
2024-05-24 04:00:00,233.00815276173165,236.27564977127903,231.9815177787665,235.49578857421875,2450100,0.0198358306013286,,,,,,,,0,0,0.3653879192819715,0.0730775838563943,1,99.9999999978168,0.0,,,0.0,0.4556266905047144,,0,
2024-05-28 04:00:00,238.2499512805398,240.50066428799747,235.7820628896612,239.47401428222656,2824200,0.016892980261318,,,,,,,,0,0,0.9648478792524317,0.2514316429356018,1,99.99999999779608,7.142857142857142,,,0.0,0.4630001270920778,,0,
2024-05-29 04:00:00,235.07133512342176,236.10783630888943,234.2124996282783,234.5283966064453,2061100,-0.0206520013898154,,,,,,,,0,0,1.028992615870635,0.4069438375226084,1,92.26420940232502,9.69337196222401,,,-0.0206520013898154,0.4566358738085023,,0,
2024-05-30 04:00:00,234.5974751460281,235.2687486517154,231.6755035926957,232.89956665039065,1536800,-0.0069451289465298,,,,,,,,0,0,0.9375868988820172,0.5130724497944903,1,89.80031298031736,9.329679354297378,,,-0.0274536995236892,0.4564927168096552,,0,
2024-05-31 04:00:00,233.7386513240876,234.31120325607148,224.5778505379374,231.0042266845703,2991000,-0.0081380141366491,0.0003847152410076,,,,,,,0,0,0.7040927712171481,0.5512765140790219,1,86.89249313434794,12.400426047398655,,,-0.0353682950655113,0.4486910595350902,,0,
2024-06-03 04:00:00,234.74556769419465,234.89363498573803,227.24318029153,231.37936401367188,1815900,0.0016239414078504,-0.0174798224013655,,,,,,,0,0,0.5430574123058705,0.5496326937243916,0,86.98234153771219,14.79125424072602,,,-0.0338017896965426,0.4490534968992026,,0,
2024-06-04 04:00:00,230.99436692427795,231.34974347590403,227.8255914170453,229.57286071777344,2246900,-0.0078075385140728,-0.0413454194357152,,,,,,,0,0,0.2665928948272835,0.49302473394497,0,83.9963813936664,17.011308991672855,,,-0.0413454194357152,0.4450499907767404,,0,
2024-06-05 04:00:00,233.6596973574472,239.77019214303485,232.8304903755147,239.6122436523437,3749400,0.04373070450567,0.0216768933718054,,,,,,,0,0,0.847814001043929,0.5639825873647618,1,86.72394506740096,16.845119304440246,,,0.0,0.4590564324556925,,0,
2024-06-06 04:00:00,239.84914895724265,239.84914895724265,235.8709138967132,237.64779663085932,2261300,-0.0081984417471363,0.0203874573437756,,,,,,,0,0,1.13681694008622,0.6785494579090535,1,83.71724827495389,16.716239975874828,,,-0.0081984417471363,0.4553013501570322,,0,
2024-06-07 04:00:00,237.74651713887133,238.44740414241667,235.28850968606469,236.9370574951172,2052600,-0.0029907247019258,0.0256827803356516,,,,,,,0,0,1.2935914263412087,0.8015578515954846,1,82.60143178277966,16.33281926032712,,,-0.0111646471668116,0.4544922295061354,,0,
2024-06-10 04:00:00,235.10095596331624,241.0337550570551,234.77519284290292,240.3526153564453,1824300,0.0144154650076149,0.0387815541849412,,,,,,,0,0,1.6741448113325248,0.9760752435428928,1,83.72411817694807,16.819445286110067,,,0.0,0.4596238039436304,,0,
2024-06-11 04:00:00,239.09732328719872,240.886365166782,236.7251358914413,240.55029296875,1662100,0.0008224483516083,0.0478167681347654,,,,,,,0,0,1.968989753702374,1.174658145574789,1,83.7893150606229,17.271312310051375,,,0.0,0.4588966432994185,,0,
2024-06-12 04:00:00,244.83010943568829,248.25002801801,244.3062512978816,247.330795288086,3101600,0.028187462320891,0.0322126762726748,,,,,,,0,0,2.718449768170501,1.4834164700939314,1,85.87881564978811,19.366716609792192,,,0.0,0.4679881511658915,,0,
2024-06-13 04:00:00,249.1395993623409,251.13619961635047,246.61914096020988,250.019287109375,3469400,0.0108700245683419,0.0520580903921967,,,,,,,0,0,3.489120639686547,1.8845573040124544,1,86.61548934839347,21.747777141709285,,,0.0,0.4721246100748644,,0,
2024-06-14 04:00:00,247.89420371379745,249.8512589700277,246.83659362457263,249.1198272705078,2567600,-0.0035975618091963,0.0514177474143811,,,,,,,0,0,3.981408763959735,2.3039275960019108,1,85.01751360763237,23.958761921346586,,,-0.0035975618091963,0.4701401166579106,,0,
2024-06-17 04:00:00,250.79026490854773,253.5281757467849,247.7162969502093,253.05372619628903,3057900,0.0157911916080031,0.0528436556473823,,,,,,,0,0,4.635547707096947,2.770251618220918,1,86.21534736735136,26.499375406610827,,,0.0,0.4737932707251517,,0,
2024-06-18 04:00:00,254.02238783571772,257.6300927585612,253.51828706340805,256.2759704589844,3071500,0.0127334393021183,0.0653737615371654,,,,,,,0,0,5.352268099945434,3.2866549145658213,1,87.12344450380411,29.285675326952862,,,0.0,0.4786102263844082,,0,
2024-06-20 04:00:00,256.6515649590246,257.1062269213929,247.9139894281237,249.31753540039065,3921500,-0.0271521167050166,0.0080327243924096,,,,,,,0,0,5.297717826420978,3.6888674969368527,1,75.54893423628651,29.76175755680429,,,-0.0271521167050166,0.4668833017625428,,0,
2024-06-21 04:00:00,247.2418464444944,249.76230484576595,244.0789250563492,246.88601684570312,3156800,-0.0097526977024806,-0.0125321142216566,,,,240.61863861083984,,,0,0,5.000638863298036,3.9512217702090897,1,71.95177398227194,29.074470834795385,,,-0.0366400080212907,0.4629505577865798,,0,
2024-06-24 04:00:00,244.6621031952533,246.1546028263189,239.71015474826103,239.8386383056641,3958300,-0.0285450696239448,-0.0372559224471752,,,,241.06480102539064,,,0,0,4.148713309357589,3.99072007803879,1,62.64213779351404,27.364789888978923,,,-0.064139186065246,0.4512022921142406,,0,
2024-06-25 04:00:00,241.76603046122952,243.66378321763088,238.98857491155016,243.52540588378903,2551800,0.0153718667024214,-0.0376533491749853,0.0546088152389525,,,241.46628189086917,,,0,0,3.728072601712114,3.938190582773455,0,65.18029835880685,25.61406160486891,0.2872589195766461,,-0.0497532583814213,0.4563807652823411,0.0148089513727298,1,
2024-06-26 04:00:00,243.35737820674527,244.7905752584886,239.8979297664004,242.57652282714844,1933800,-0.0038964437948351,-0.0534558414013632,0.0300673498061223,,,241.62140731811525,,,0,0,3.280331260984809,3.8066187184157263,0,63.97553263690927,24.232982286813755,0.2811092114989584,,-0.0534558414013632,0.454035745726422,-0.0034917725661111,0,
2024-06-27 04:00:00,242.10209258346248,243.8911192517844,239.8880401139268,241.3311309814453,2363600,-0.0051340163969229,-0.0320330634029395,0.0077549821210667,,,241.96154403686523,,,0,0,2.7928065731681784,3.6038562893662167,0,62.34669533527525,22.9480230477598,0.2762855701827494,,-0.0583154146320202,0.4509937166072142,-0.0259317649873469,0,
2024-06-28 04:00:00,243.0015603467376,248.54656286053688,241.83522411650216,243.77252197265625,3851300,0.0101163533327932,-0.0126110620310777,0.0394158042265697,,,242.5051918029785,,,0,0,2.573770767788289,3.3978391850506315,0,64.26733211900365,22.72226300571052,0.2669921420427684,,-0.0487890006383927,0.4573559240361871,0.0015768586503712,1,
2024-07-01 04:00:00,243.63415072447685,244.0492827578917,239.16651561696509,243.7626342773437,2330400,-4.056115608319644e-05,0.0163609833653186,0.0466427129220887,,,243.1431121826172,,,0,0,2.3720420355393514,3.192679755148376,0,64.25303731428482,21.8120633118264,0.2651500934136849,,-0.0488275828562059,0.4563980522723298,-0.0002073735983937,0,
2024-07-02 04:00:00,242.35905530110807,247.27147298335305,242.1613755619468,247.19239807128903,1617400,0.0140700965269477,0.0150579450804813,0.0700773817823827,,,243.93376388549805,,,0,0,2.4605600318922143,3.046255810497144,0,66.99534961279971,21.58557320767316,0.2652894162669306,,-0.0354444951332224,0.4597257821013439,0.0245931411641839,1,
2024-07-03 04:00:00,247.8151387970191,252.61883104312628,246.4906677662076,251.31411743164065,1392200,0.0166741347732017,0.0360199515709867,0.0861561423290577,,,245.0208267211914,,,0,0,2.830669293884569,3.003138507174629,0,69.97621332522633,22.22796535770632,0.2691414199203313,,-0.0193613666488401,0.4653148358448095,0.0362124759252393,1,
2024-07-05 04:00:00,253.3106970890928,253.85431263416456,250.3454555763452,251.8083038330078,1823900,0.0019664092348556,0.043414095848115,0.0968557130216258,,,245.6306297302246,,,0,0,3.1278048753963503,3.0280717808189737,1,70.32230740575268,22.999132142661555,0.2658113297040944,,-0.0174330297841622,0.4635567486971822,0.0415835485989835,1,
2024-07-08 04:00:00,253.73573001564583,256.8887728467176,253.71597259620307,256.5823669433594,2295500,0.0189591170651686,0.0525483547819225,0.0708232727691402,,,246.5773582458496,,,0,0,3.705795851191226,3.1636165948934245,1,73.5002923601797,24.122936706420944,0.2314253879347732,,0.0,0.4718009452078009,0.0277624096975015,1,
2024-07-09 04:00:00,257.7289136497327,259.0434908096129,254.1508603075656,256.4637451171875,2374700,-0.0004623148020068,0.0521044206693013,0.0791757750464445,,,247.55369262695316,,,0,0,4.106943782262505,3.3522820323672406,1,73.2902875397824,25.43423239451735,0.2280822979102195,,-0.0004623148020068,0.4711246653866098,0.0347534994660574,1,
2024-07-10 04:00:00,258.8358877046157,262.91804106315067,257.56082560091045,262.4139404296875,3075800,0.0232009218682396,0.0615777122482894,0.1075259531113883,,,248.65675888061523,,,0,0,4.84909014883101,3.6516436556599943,1,76.86157842726399,27.087090916345048,0.2362525805997757,,0.0,0.4773318471033503,0.0502530430983014,1,
2024-07-11 04:00:00,264.0547766043438,264.1437302387808,253.00431605450933,253.78517150878903,4689600,-0.0328822809747429,0.0098325319023135,0.0558868732608677,,,249.3185028076172,,,0,0,4.686948725542862,3.8587046696365688,1,63.58432161323873,27.3665256774196,0.2672359861347086,,-0.0328822809747429,0.4656512176261399,0.0131137979164559,1,
2024-07-12 04:00:00,254.85263963056823,261.3564200679654,253.58747102887372,256.87890625,2929500,0.0121903684238848,0.0201367561744703,0.0678802469110742,,,249.7959083557129,,,0,0,4.75329598037905,4.037622931785066,1,65.86132971986052,27.62600081270312,0.2691092194123221,,-0.0210927596705579,0.4683733392805017,0.0206510466342633,1,
