Date,open,high,low,close,volume,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,ret_252d,sma20,sma50,sma200,trend_sma,above_sma200,macd,macd_signal,macd_bullish,rsi,adx,vol_21,sharpe_63,drawdown,calmar_63,rs_ratio,rs_mom_21,rs_mom_63,rs_mom_126d,rs_positive,score,score_pct
2024-07-29,7.6020002365112305,7.629000186920166,7.525000095367432,7.525000095367432,56697.0,,,,,,,,,,0,0,0.0,0.0,0,,0.0,,,0.0,,0.0141404330597603,,,,0,,
2024-07-30,7.540999889373779,7.576000213623047,7.460999965667725,7.4745001792907715,63926.0,-0.0067109522174955,,,,,,,,,0,0,-0.0040284833337507,-0.0008056966667501,0,0.0,7.142857142857142,,,-0.0067109522174955,,0.0141170605432399,,,,0,,
2024-07-31,7.629000186920166,7.679999828338623,7.60699987411499,7.669000148773193,31789.0,0.026021802771684,,,,,,,,,0,0,0.0083768732533195,0.0010308173172638,1,22.85549069465908,8.580686063077655,,,0.0,,0.0142527407344746,,,,0,,
2024-08-01,7.631999969482422,7.670000076293945,7.439000129699707,7.440000057220459,124186.0,-0.0298604886048108,,,,,,,,,0,0,-0.0002671067895452,0.0007712324959019,0,17.72024640630734,10.796119852082608,,,-0.0298604886048108,,0.0140257639730123,,,,0,,
2024-08-02,7.25,7.255000114440918,7.086999893188477,7.132999897003174,94541.0,-0.0412634620774423,,,,,,,,,0,0,-0.0315264531448544,-0.0056883046322492,0,13.380000639667784,15.19369279041032,,,-0.0698918035430946,,0.0137021236200658,,,,0,,
2024-08-05,6.658999919891357,6.974999904632568,6.5,6.974999904632568,112951.0,-0.0221505670337927,-0.0730897254172071,,,,,,,,0,0,-0.068262106197583,-0.018203064945316,0,11.780736643190023,20.25130500382597,,,-0.0904942274973933,,0.0138005363949868,,,,0,,
2024-08-06,7.048999786376953,7.089000225067139,6.892000198364258,6.968999862670898,300342.0,-0.000860221081535,-0.0676299825398945,,,,,,,,0,0,-0.0967443208404237,-0.0339113161243375,0,11.723430570426345,23.704771101438062,,,-0.0912766035366779,,0.0136627017880857,,,,0,,
2024-08-07,6.991000175476074,7.109000205993652,6.9670000076293945,7.058000087738037,56183.0,0.0127708748487518,-0.0796714107683121,,,,,,,,0,0,-0.1108572138362626,-0.0493004956667226,0,18.088383505463213,26.702402908633797,,,-0.0796714107683121,,0.0139302938165569,,,,0,,
2024-08-08,6.890999794006348,7.057000160217285,6.849999904632568,7.057000160217285,69923.0,-0.0001416729255202,-0.0514784803840795,,,,,,,,0,0,-0.1207307599590317,-0.0635865485251844,0,18.07261709254492,29.727752127542825,,,-0.0798017964119885,,0.0136136104000772,,,,0,,
2024-08-09,7.077000141143799,7.151000022888184,7.014999866485596,7.01800012588501,122777.0,-0.0055264324000063,-0.0161222168482687,,,,,,,,0,0,-0.1302017089767773,-0.076909580615503,0,17.434325051407967,31.58758042118212,,,-0.084887209578725,,0.0134789393174141,,,,0,,
2024-08-12,7.073999881744385,7.089000225067139,7.010000228881836,7.053500175476074,44734.0,0.0050584281781538,0.0112545192712287,,,,,,,,0,0,-0.1333062752315443,-0.0881889195387112,0,20.1972242061168,33.32872939504787,,,-0.0802581772534689,,0.013540009161642,,,,0,,
2024-08-13,7.071000099182129,7.146999835968018,7.02400016784668,7.144499778747559,17242.0,0.0129013399032549,0.0251829415317852,,,,,,,,0,0,-0.1269602402672509,-0.0959431836844192,0,26.94571152123665,34.35463305819683,,,-0.0683922753749768,,0.0134927945599555,,,,0,,
2024-08-14,7.2129998207092285,7.281000137329102,7.139999866485596,7.177999973297119,59796.0,0.0046889489239276,0.0170019671390426,,,,,,,,0,0,-0.1178690550147232,-0.10032835795048,0,29.31547654953698,34.077384075021214,,,-0.0640240143370736,,0.0135134296875502,,,,0,,
2024-08-15,7.208000183105469,7.394000053405762,7.166999816894531,7.376999855041504,37801.0,0.0277235835169524,0.0453450031967075,,,,,,,,0,0,-0.0935284599909431,-0.0989683783585726,1,41.46282531113932,32.927706551062016,,,-0.0380754059286856,,0.01365403794681,,,,0,,
2024-08-16,7.434000015258789,7.465000152587891,7.348999977111816,7.401999950408935,14751.0,0.003388924475896,0.0547164174459886,,,,,,,,0,0,-0.0713980322365515,-0.0934543091341684,1,42.79291376906403,31.347432549858045,,,-0.034815516127871,,0.013669663152212,,,,0,,
2024-08-19,7.415999889373779,7.517000198364258,7.407999992370605,7.513999938964844,96784.0,0.0151310442186265,0.065286701925642,,,,,,,,0,0,-0.0443112532024514,-0.083625697947825,1,48.44466898110201,29.51763339024057,,,-0.0202112670232695,,0.0137450768236575,,,,0,,
