Datetime,open,high,low,close,volume
2026-02-27 14:30:00,229.77000427246094,230.0749969482422,228.0050048828125,228.87930297851562,67421
2026-02-27 15:30:00,228.77999877929688,229.75990295410156,228.5850067138672,229.67999267578125,27593
2026-02-27 16:30:00,229.75,229.85499572753906,228.72000122070312,228.77000427246094,41283
2026-02-27 17:30:00,228.75999450683594,229.32000732421875,228.5399932861328,229.2050018310547,37099
2026-02-27 18:30:00,229.3249969482422,229.4499969482422,228.8000030517578,228.8000030517578,37096
2026-02-27 19:30:00,228.7899932861328,229.7899932861328,228.72999572753906,229.64999389648438,56564
2026-02-27 20:30:00,229.72999572753906,229.88499450683594,229.4550018310547,229.8800048828125,52379
2026-03-02 14:30:00,227.27999877929688,229.32839965820312,226.9499969482422,228.67999267578125,85563
2026-03-02 15:30:00,228.71499633789062,229.6199951171875,228.2550048828125,228.6199951171875,58175
2026-03-02 16:30:00,228.75999450683594,229.86500549316406,228.57000732421875,229.76499938964844,39110
2026-03-02 17:30:00,229.77000427246094,230.42999267578125,229.6999969482422,230.2899932861328,51147
2026-03-02 18:30:00,230.33999633789062,230.83990478515625,229.77749633789062,230.72000122070312,54920
2026-03-02 19:30:00,230.97999572753906,231.07000732421875,230.0850067138672,230.17999267578125,59333
2026-03-02 20:30:00,230.2366943359375,230.5500030517578,230.2366943359375,230.3699951171875,22724
2026-03-03 14:30:00,225.57000732421875,225.57000732421875,222.25999450683594,222.47999572753906,156157
2026-03-03 15:30:00,222.72000122070312,225.17999267578125,222.55499267578125,225.0749969482422,79087
2026-03-03 16:30:00,225.0399932861328,226.34500122070312,224.6199951171875,226.34500122070312,51661
2026-03-03 17:30:00,226.30999755859375,227.55499267578125,226.0166015625,227.47000122070312,44797
2026-03-03 18:30:00,227.45989990234375,228.27999877929688,227.38499450683594,227.7808074951172,36658
2026-03-03 19:30:00,227.72999572753906,228.33999633789062,227.31500244140625,227.85000610351562,49945
2026-03-03 20:30:00,227.80999755859375,227.87899780273438,227.14999389648438,227.3000030517578,31656
2026-03-04 14:30:00,228.35000610351562,228.59500122070312,226.1060028076172,227.9499969482422,47913
2026-03-04 15:30:00,227.84849548339844,228.4687042236328,227.25999450683594,227.64999389648438,35962
2026-03-04 16:30:00,227.72500610351562,228.1199951171875,227.5500030517578,227.72000122070312,41847
2026-03-04 17:30:00,227.77999877929688,228.00160217285156,227.57000732421875,227.69000244140625,51865
2026-03-04 18:30:00,227.6999969482422,228.3488006591797,227.6699981689453,228.16000366210938,58681
2026-03-04 19:30:00,228.2799072265625,228.58599853515625,228.25,228.40499877929688,39374
2026-03-04 20:30:00,228.47999572753906,228.50030517578125,228.05999755859375,228.05999755859375,20274
